abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"Whetham, Recent science",https://www.nytimes.com/1904/10/01/archives/modern-science-wcd-whethams-useful-book-on-its-recent-development.html,"Whetham, Recent science",,RB,660,The New York Times,[],"{'main': ""MODERN SCIENCE.; W.C.D. Whetham's Useful Book on Its Recent Development.*"", 'kicker': None, 'content_kicker': None, 'print_headline': ""MODERN SCIENCE.; W.C.D. Whetham's Useful Book on Its Recent Development.*"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}]",1904-10-01T05:00:00+0000,article,None,Archives,"{'original': 'By Arrangement With the London Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/000a90e7-97da-5dcb-bfd9-dd6a270c0c9c,0,nyt://article/000a90e7-97da-5dcb-bfd9-dd6a270c0c9c
Aldrich and Cortelyou help; signing the warrants,https://www.nytimes.com/1904/10/01/archives/buying-the-president.html,Aldrich and Cortelyou help; signing the warrants,,,8,The New York Times,[],"{'main': 'BUYING THE PRESIDENT.', 'kicker': None, 'content_kicker': None, 'print_headline': 'BUYING THE PRESIDENT.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Women', 'rank': 1, 'major': 'N'}]",1904-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0177a239-c4e9-5819-ac16-b7eec4398870,0,nyt://article/0177a239-c4e9-5819-ac16-b7eec4398870
,https://www.nytimes.com/1904/10/01/archives/boston-wants-next-cup-defender.html,,,,7,The New York Times,[],"{'main': 'Boston Wants Next Cup Defender.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Boston Wants Next Cup Defender.', 'name': None, 'seo': None, 'sub': None}",[],1904-10-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/01929ca7-fb5d-5c9f-ac5d-484b5368fb72,0,nyt://article/01929ca7-fb5d-5c9f-ac5d-484b5368fb72
,https://www.nytimes.com/1904/10/01/archives/obituary-2-no-title.html,,,,9,The New York Times,[],"{'main': 'Obituary 2 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Obituary 2 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1904-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/026fbae8-ec65-5c0b-89e8-3c7eb23b1930,0,nyt://article/026fbae8-ec65-5c0b-89e8-3c7eb23b1930
"1,600 shoes, &c.",https://www.nytimes.com/1904/10/01/archives/1600-shoes-for-one-prince-reason-why-kuropatkin-did-not-want-the.html,"1,600 shoes, &c.",,,2,The New York Times,[],"{'main': ""1,600 SHOES FOR ONE PRINCE.; Reason Why Kuropatkin Did Not Want the Kaiser's Relative."", 'kicker': None, 'content_kicker': None, 'print_headline': ""1,600 SHOES FOR ONE PRINCE.; Reason Why Kuropatkin Did Not Want the Kaiser's Relative."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'FRED, LEO OF PRUSSIA', 'rank': 1, 'major': 'N'}]",1904-10-01T05:00:00+0000,article,None,Archives,"{'original': 'Special Cable to THE NEW YORK TIMES', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/08b895ce-956d-5658-a55b-02f783e57f96,0,nyt://article/08b895ce-956d-5658-a55b-02f783e57f96
"There is a story about a little game of draw poker indulged in by a party of horsemen at one of the Broadway hotels, in which a big Western speculator who plays a rather stiff game was a participant. The cards had been running steadily against him for a couple of hours, and his temper was therefore not of the best.  ",https://www.nytimes.com/1904/10/01/archives/talk-of-the-day.html,,,,9,The New York Times,[],"{'main': 'TALK OF THE DAY.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'TALK OF THE DAY.', 'name': None, 'seo': None, 'sub': None}",[],1904-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0dd2861c-245a-534e-8926-3d097ecd58d4,0,nyt://article/0dd2861c-245a-534e-8926-3d097ecd58d4
"WORCESTER, Mass., Sept. 30. -- Worcester learned of the death of Senator George Frisble Hoar soon after it occurred this morning by the tolling of the bells of the church towers and fire stations. At 2:55 o'clock the chimes of Plymouth Church played ""Nearer, My God, to Thee."" At 3 o'clock a flag on a manufacturing plant, the first one to be half-masted, was raised.  ",https://www.nytimes.com/1904/10/01/archives/sorrow-in-massachusetts-senator-hoars-death-announced-in-worcester.html,,,,9,The New York Times,[],"{'main': ""SORROW IN MASSACHUSETTS.; Senator Hoar's Death Announced in Worcester by Tolling of Bells."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""SORROW IN MASSACHUSETTS.; Senator Hoar's Death Announced in Worcester by Tolling of Bells."", 'name': None, 'seo': None, 'sub': None}",[],1904-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/111bb10d-a041-5f1f-a336-079ffd5129ad,0,nyt://article/111bb10d-a041-5f1f-a336-079ffd5129ad
Albertson and Ferris under fire,https://www.nytimes.com/1904/10/01/archives/albertson-and-ferris-to-be-put-on-trail-police-inspector-and.html,Albertson and Ferris under fire,,,1,The New York Times,[],"{'main': 'ALBERTSON AND FERRIS TO BE PUT ON TRAIL; Police Inspector and Captain Face Double Charges Now.', 'kicker': None, 'content_kicker': None, 'print_headline': 'ALBERTSON AND FERRIS TO BE PUT ON TRAIL; Police Inspector and Captain Face Double Charges Now.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'POLICE DEPT.', 'rank': 2, 'major': 'N'}]",1904-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/118d85c0-ecb0-5f80-9126-df7071f55efc,0,nyt://article/118d85c0-ecb0-5f80-9126-df7071f55efc
Vanderbilt Cup race on Nassau Co. road,https://www.nytimes.com/1904/10/01/archives/auto-races-on-public-roads.html,Vanderbilt Cup race on Nassau Co. road,,,8,The New York Times,[],"{'main': 'AUTO RACES ON PUBLIC ROADS.', 'kicker': None, 'content_kicker': None, 'print_headline': 'AUTO RACES ON PUBLIC ROADS.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Automobiles', 'rank': 1, 'major': 'N'}]",1904-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/16bfcef0-ac8f-59f4-8f50-a28681032337,0,nyt://article/16bfcef0-ac8f-59f4-8f50-a28681032337
,https://www.nytimes.com/1904/10/01/archives/would-bet-sully-a-mule-also-negro-driver-sully-however-wants-to.html,,,,16,The New York Times,[],"{'main': 'WOULD BET SULLY A MULE.; Also Negro Driver -- Sully, However, Wants to Drive Himself.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'WOULD BET SULLY A MULE.; Also Negro Driver -- Sully, However, Wants to Drive Himself.', 'name': None, 'seo': None, 'sub': None}",[],1904-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/16e0ec46-02c1-5de9-b26e-3309762417cc,0,nyt://article/16e0ec46-02c1-5de9-b26e-3309762417cc
