abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
,https://www.nytimes.com/1887/08/01/archives/article-1-no-title.html,,,,2,The New York Times,[],"{'main': 'Article 1 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 1 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/026ae722-c389-54ed-8eab-0591fba960b8,0,nyt://article/026ae722-c389-54ed-8eab-0591fba960b8,
Prospect Park Pleasure Grounds Used by Roughs,https://www.nytimes.com/1887/08/01/archives/given-over-to-hoodlums-the-pleasure-grounds-at-prospect-park-no.html,Prospect Park Pleasure Grounds Used by Roughs,,,8,The New York Times,[],"{'main': 'GIVEN OVER TO HOODLUMS.; THE PLEASURE GROUNDS AT PROSPECT PARK NO LONGER PROTECTED.', 'kicker': None, 'content_kicker': None, 'print_headline': 'GIVEN OVER TO HOODLUMS.; THE PLEASURE GROUNDS AT PROSPECT PARK NO LONGER PROTECTED.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/02fc1540-e6b0-5304-916f-805795f3cc3c,0,nyt://article/02fc1540-e6b0-5304-916f-805795f3cc3c,
"A very mysterious circumstance is said to have occurred near Commiskey, Jennings County, Ind., Sunday night, July 24. About five months ago the people of that neighborhood concluded to build a Baptist church, as most of them were of that faith.  ",https://www.nytimes.com/1887/08/01/archives/the-ministry-of-the-new-church.html,,,,4,The New York Times,[],"{'main': 'THE MINISTRY OF THE NEW CHURCH.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE MINISTRY OF THE NEW CHURCH.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0537d324-2fbd-5a46-b254-a30c285bdb95,0,nyt://article/0537d324-2fbd-5a46-b254-a30c285bdb95,
,https://www.nytimes.com/1887/08/01/archives/personal-intelligence.html,,,,2,The New York Times,[],"{'main': 'PERSONAL INTELLIGENCE.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'PERSONAL INTELLIGENCE.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/054ab46e-7ffa-5907-8201-464035abf484,0,nyt://article/054ab46e-7ffa-5907-8201-464035abf484,
"We congratulate the zealous and extreme Republicans of this State on the fact that they are not to be left without an issue in the approaching elections, and one that will appeal strongly to that profound and exacting moral sentiment by which they profess, usually with entire sincerity, to be animated.",https://www.nytimes.com/1887/08/01/archives/mr-platt-as-moral-issue.html,,,,4,The New York Times,[],"{'main': 'MR. PLATT AS MORAL ISSUE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'MR. PLATT AS MORAL ISSUE.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/06754de4-aa44-56c2-8dc4-f5ef376d9b51,0,nyt://article/06754de4-aa44-56c2-8dc4-f5ef376d9b51,
"SARATOGA, July 31.--The entries and weights for the races to be run here to-morrow are as follows:  ",https://www.nytimes.com/1887/08/01/archives/saratoga-races-a-large-number-of-entries-for-todays-events.html,,,,3,The New York Times,[],"{'main': ""SARATOGA RACES.; A LARGE NUMBER OF ENTRIES FOR TO-DAY'S EVENTS."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""SARATOGA RACES.; A LARGE NUMBER OF ENTRIES FOR TO-DAY'S EVENTS."", 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/070191bb-4be4-5134-8a7d-cc161119ffaa,0,nyt://article/070191bb-4be4-5134-8a7d-cc161119ffaa,
Monument in San Francisco Cemetery,https://www.nytimes.com/1887/08/01/archives/marble-immortality.html,Monument in San Francisco Cemetery,,,4,The New York Times,[],"{'main': 'MARBLE IMMORTALITY.', 'kicker': None, 'content_kicker': None, 'print_headline': 'MARBLE IMMORTALITY.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/089dedb9-a94f-551a-9169-2298136d9bc1,0,nyt://article/089dedb9-a94f-551a-9169-2298136d9bc1,
,https://www.nytimes.com/1887/08/01/archives/clippings.html,,,,4,The New York Times,[],"{'main': 'CLIPPINGS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'CLIPPINGS.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/09c7d05d-fe75-5f9d-ba1d-47b36ef354ae,0,nyt://article/09c7d05d-fe75-5f9d-ba1d-47b36ef354ae,
"Patrolman John J. Robb, of the Twentysecond Precinct, died yesterday afternoon from the effects of a pistol shot wound in his left breast accidentally inflicted by himself on the morning of June 3.  ",https://www.nytimes.com/1887/08/01/archives/death-of-policeman-robb.html,,,,8,The New York Times,[],"{'main': 'DEATH OF POLICEMAN ROBB.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'DEATH OF POLICEMAN ROBB.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bf70eec-392e-5839-8e07-de821696679e,0,nyt://article/0bf70eec-392e-5839-8e07-de821696679e,
Umbria Swept by Tidal Wave,https://www.nytimes.com/1887/08/01/archives/swept-by-a-tidal-wave-one-of-the-roughest-voyages-on-record-made-by.html,Umbria Swept by Tidal Wave,,,1,The New York Times,[],"{'main': 'SWEPT BY A TIDAL WAVE.; ONE OF THE ROUGHEST VOYAGES ON RECORD MADE BY THE UMBRIA.', 'kicker': None, 'content_kicker': None, 'print_headline': 'SWEPT BY A TIDAL WAVE.; ONE OF THE ROUGHEST VOYAGES ON RECORD MADE BY THE UMBRIA.', 'name': None, 'seo': None, 'sub': None}",[],1887-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0de0ce0f-5fde-5e28-8928-e4c430d6b66d,0,nyt://article/0de0ce0f-5fde-5e28-8928-e4c430d6b66d,
