abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
In the Matter of the Petition of Samuel D. Babcock to vacate assessment for paving Duane-street. -- Application denied.,https://www.nytimes.com/1862/03/01/archives/decisions-supreme-court-chambers-before-justice-ingraham.html,,In the Matter of the Petition of Samuel D. Babcock to vacate assessment for paving Duane-street. -- Application denied.,,3,The New York Times,[],"{'main': 'Decisions.; SUPREME COURT CHAMBERS. Before Justice Ingraham.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Decisions.; SUPREME COURT CHAMBERS. Before Justice Ingraham.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/00aab72b-7ca9-50b2-90e1-a92acca5466b,154,nyt://article/00aab72b-7ca9-50b2-90e1-a92acca5466b,
"Maskings and mummings have been the order of the day, or, rather, of the night until the day, for some weeks past, in the social circles of our City, and the Germans have, as usual, in the carnival time, had their goodly share of the fun. The splendid masques of the ""Liederkranz"" and the ""Arion"" are still fresh in the memory of the fair and gay, and the past week has been marked by the Artillery and Hussar Balls given by the Vaterland soldiers in our midst. Many of these entertainments have been elegant and agreeable, but for real genuine, old-fashioned German gemuethlichkeit, or good-humored jollity, none of them compared with the masked ball given by the ""Germania"" Sing Verein, at the Metropolitan Rooms in Hester-street, on Tuesday evening last.",https://www.nytimes.com/1862/03/01/archives/the-germania-verein-the-masked-ball-of-the-season.html,,"Maskings and mummings have been the order of the day, or, rather, of the night until the day, for some weeks past, in the social circles of our City, and the Germans have, as usual, in the carnival time, had their goodly share of the fun. The splendid masques of the ""Liederkranz"" and the ""Arion"" are still fresh in the memory of the fair and gay, and the past week has been marked by the Artillery and Hussar Balls given by the Vaterland soldiers in our midst. Many of these entertainments have been elegant and agreeable, but for real genuine, old-fashioned German gemuethlichkeit, or good-humored jollity, none of them compared with the masked ball given by the ""Germania"" Sing Verein, at the Metropolitan Rooms in Hester-street, on Tuesday evening last.",,3,The New York Times,[],"{'main': 'The Germania Verein.; THE MASKED BALL OF THE SEASON.', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Germania Verein.; THE MASKED BALL OF THE SEASON.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/04b9ce89-c624-5edd-9837-c1fa15abf282,803,nyt://article/04b9ce89-c624-5edd-9837-c1fa15abf282,
"The blockade of the Southern ports was, on the 10th ult., brought to the notice of the House of Lords by the Earl of Malmesbury, who expatiated on the imperfection of the cordon, and demanded to know how long the British Government designed to submit to the restriction. In reply, Earl RUSSELL Said:  ",https://www.nytimes.com/1862/03/01/archives/the-southern-blockade-attitude-of-the-british-government.html,,"The blockade of the Southern ports was, on the 10th ult., brought to the notice of the House of Lords by the Earl of Malmesbury, who expatiated on the imperfection of the cordon, and demanded to know how long the British Government designed to submit to the restriction. In reply, Earl RUSSELL said:",,8,The New York Times,[],"{'main': 'THE SOUTHERN BLOCKADE; ATTITUDE OF THE BRITISH GOVERNMENT.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE SOUTHERN BLOCKADE; ATTITUDE OF THE BRITISH GOVERNMENT.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/04c19b17-589c-5923-98ba-6de9e7c9e9bb,1171,nyt://article/04c19b17-589c-5923-98ba-6de9e7c9e9bb,
FROM EUROPE.,https://www.nytimes.com/1862/03/01/archives/movements-of-european-steamers.html,,FROM EUROPE.,,6,The New York Times,[],"{'main': 'Movements of European Steamers.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Movements of European Steamers.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/09c6af48-e68e-584f-8a3b-adfb348bc717,39,nyt://article/09c6af48-e68e-584f-8a3b-adfb348bc717,
ACADEMY OF MUSIC -- GOTTSCHALK MATINES.,https://www.nytimes.com/1862/03/01/archives/amusements-this-evening.html,,ACADEMY OF MUSIC -- GOTTSCHALK MATINES.,,4,The New York Times,[],"{'main': 'Amusements this Evening.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Amusements this Evening.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c7b9472-20a6-586c-a01b-cb5e3b9ea10a,90,nyt://article/0c7b9472-20a6-586c-a01b-cb5e3b9ea10a,
Dispatches from Washington and report on Congress proceedings,https://www.nytimes.com/1862/03/01/archives/the-proceedings-of-congress-senate.html,Dispatches from Washington and report on Congress proceedings,"WASHINGTON, Friday, Feb. 28.",,1,The New York Times,[],"{'main': 'THE PROCEEDINGS OF CONGRESS.; SENATE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE PROCEEDINGS OF CONGRESS.; SENATE.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0fa55cd2-0e85-56b0-ab40-f23876d97d10,1588,nyt://article/0fa55cd2-0e85-56b0-ab40-f23876d97d10,
Observations from Great Britain,https://www.nytimes.com/1862/03/01/archives/american-topics-in-england-treatment-of-british-subjects-in-america.html,Observations from Great Britain,"In the House of Lords, on the 10th ult., the Earl of CARNARVON having made some denunciatory remarks respecting the sufferings experienced by British subjects in America, at the hands of the National Government,",,8,The New York Times,[],"{'main': 'AMERICAN TOPICS IN ENGLAND.; TREATMENT OF BRITISH SUBJECTS IN AMERICA. INTERESTING STATEMENTS OF THE BRITISH FOREIGN SECRETARY IN THE HOUSE OF LORDS.', 'kicker': None, 'content_kicker': None, 'print_headline': 'AMERICAN TOPICS IN ENGLAND.; TREATMENT OF BRITISH SUBJECTS IN AMERICA. INTERESTING STATEMENTS OF THE BRITISH FOREIGN SECRETARY IN THE HOUSE OF LORDS.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1922f81e-a52a-565e-8850-201c198d08e9,2457,nyt://article/1922f81e-a52a-565e-8850-201c198d08e9,
"In the Senate yesterday, the bill authorizing attorneys residing in other States to practice in the Courts of this State was passed. Notice was given of a bill to regulate the Fire Department of this City. The bill to afford aid to the Albany and Susquehannah Railroad was passed; as were also the Kings County Court-house bill, and the bill to amend the act concerning the rights and liabilities of husbands and wives.",https://www.nytimes.com/1862/03/01/archives/the-state-legislature.html,,"In the Senate yesterday, the bill authorizing attorneys residing in other States to practice in the Courts of this State was passed. Notice was given of a bill to regulate the Fire Department of this City. The bill to afford aid to the Albany and Susquehannah Railroad was passed; as were also the Kings County Court-house bill, and the bill to amend the act concerning the rights and liabilities of husbands and wives.",,4,The New York Times,[],"{'main': 'THE STATE LEGISLATURE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE STATE LEGISLATURE.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1f24482b-fe7a-5859-a7af-053b3443d1f6,241,nyt://article/1f24482b-fe7a-5859-a7af-053b3443d1f6,
"ST. LOUIS, Friday, Feb. 28.",https://www.nytimes.com/1862/03/01/archives/gen-halleck-and-the-poisoners.html,,"ST. LOUIS, Friday, Feb. 28.",,1,The New York Times,[],"{'main': 'GEN. HALLECK AND THE POISONERS.', 'kicker': None, 'content_kicker': None, 'print_headline': 'GEN. HALLECK AND THE POISONERS.', 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/3776d1ad-f677-52b9-9be8-e6ae86453e7b,171,nyt://article/3776d1ad-f677-52b9-9be8-e6ae86453e7b,
Observations from Kansas; Excerpts from Min. Lord Lyons official dispatches on war from attack on Fort Sumter to date,https://www.nytimes.com/1862/03/01/archives/a-diplomatic-view-of-the-rebellion-lord-lyons-official-dispatches.html,Observations from Kansas; Excerpts from Min. Lord Lyons official dispatches on war from attack on Fort Sumter to date,"We have already given copious selections from the series of papers relating to the American question just laid before the British Parliament. To-day we recur to them with a view of presenting a run- ning history of the great rebellion as seen by the British Minister at Washington and as contained in the diplomatic dispatches of Lord LYONS to his Government. The extraordinary importance of the transaction in which he has been directly engaged with the Cabinet at Washington, as well as the extreme interest which attaches to this inside view of our affairs as recorded day by day in these official communications to the British Government, make this body of dispatches a historical document of permanent value. We confine our selections to Parliamentary paper No. 1, entitled ""Correspondence relating to the Civil War in the United States of North America,"" and which is composed of 156 dispatches, the majority of them addressed by Lord LYONS to Lord JOHN RUSSELL, Her British Majesty's Foreign Secretary.",,2,The New York Times,[],"{'main': ""A DIPLOMATIC VIEW OF THE REBELLION.; Lord Lyons' Official Dispatches on the American Question from the Attack on Sumter to the Present Time. SECRET HISTORY OF BRITISH DIPLOMACY. SELECTIONS FROM THE BLUE BOOK. SUMTER THE WAR BEGUN SLAVERY AND COTTON. MR. SEWARD AND CANADA FEARS OF ANNEXATION. PROGRESS OF THE WAR ENTHUSIASM OF THE NORTH. PROPOSED BRITISH MEDIATION. THE PLOT THICKENS UNANIMITY NORTH AND SOUTH. A DIPLOMATIC SQUALL REBELS PURCHASING VESSELS IN CANADA. WAR SPECULATIONS SYMPATHY FOR THE NORTH. BELLIGERENT RIGHTS STORM OF THE PRESS. ABROGATION OF PORTS OF ENTRY A PROTEST. REBELS PROHIBIT THE EXPORT OF COTTON. ARE PRIVATEERSMEN PIRATES? THE CANADA BUGBEAR LAID. RESTRICTIONS ON COMMERCE LORD LYONS KINDLY DISPOSED. CONGRESS IN A BELLIGERENT MOOD BULL RUN FORESHADOWED. PAPER BLOCKADE FRENCH AND ENGLISH VIEWS. BULL RUN. MORE PROTESTS A DELICATE SITUATION. FREMONT'S PROCLAMATION VIEWS OF THE CABINET. COAST OPERATIONS AND A COTTON PORT SOUTHERN UNIONISM. SUSPENSION OF HABEAS CORPUS THE BRITISH MINISTER NON-COMMITTAL. A DIPLOMATIC TETE-A-TETE"", 'kicker': None, 'content_kicker': None, 'print_headline': ""A DIPLOMATIC VIEW OF THE REBELLION.; Lord Lyons' Official Dispatches on the American Question from the Attack on Sumter to the Present Time. SECRET HISTORY OF BRITISH DIPLOMACY. SELECTIONS FROM THE BLUE BOOK. SUMTER THE WAR BEGUN SLAVERY AND COTTON. MR. SEWARD AND CANADA FEARS OF ANNEXATION. PROGRESS OF THE WAR ENTHUSIASM OF THE NORTH. PROPOSED BRITISH MEDIATION. THE PLOT THICKENS UNANIMITY NORTH AND SOUTH. A DIPLOMATIC SQUALL REBELS PURCHASING VESSELS IN CANADA. WAR SPECULATIONS SYMPATHY FOR THE NORTH. BELLIGERENT RIGHTS STORM OF THE PRESS. ABROGATION OF PORTS OF ENTRY A PROTEST. REBELS PROHIBIT THE EXPORT OF COTTON. ARE PRIVATEERSMEN PIRATES? THE CANADA BUGBEAR LAID. RESTRICTIONS ON COMMERCE LORD LYONS KINDLY DISPOSED. CONGRESS IN A BELLIGERENT MOOD BULL RUN FORESHADOWED. PAPER BLOCKADE FRENCH AND ENGLISH VIEWS. BULL RUN. MORE PROTESTS A DELICATE SITUATION. FREMONT'S PROCLAMATION VIEWS OF THE CABINET. COAST OPERATIONS AND A COTTON PORT SOUTHERN UNIONISM. SUSPENSION OF HABEAS CORPUS THE BRITISH MINISTER NON-COMMITTAL. A DIPLOMATIC TETE-A-TETE"", 'name': None, 'seo': None, 'sub': None}",[],1862-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/46dbed61-2aac-5a26-a8d5-d97b7a9a9f15,9452,nyt://article/46dbed61-2aac-5a26-a8d5-d97b7a9a9f15,
