abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
,https://www.nytimes.com/1877/05/01/archives/a-bank-cashiers-methods-how-he-secured-payment-of-his-bank-at-the.html,,,2,The New York Times,[],"{'main': ""A BANK CASHIER'S METHODS.; HOW HE SECURED PAYMENT OF HIS BANK AT THE EXPENSE OF THE STATE BY THE AID OF A STATE OFFICER."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""A BANK CASHIER'S METHODS.; HOW HE SECURED PAYMENT OF HIS BANK AT THE EXPENSE OF THE STATE BY THE AID OF A STATE OFFICER."", 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/03e52274-7f12-559e-a936-3cf19f7422cf,0,nyt://article/03e52274-7f12-559e-a936-3cf19f7422cf
,https://www.nytimes.com/1877/05/01/archives/a-missing-child.html,,,5,The New York Times,[],"{'main': 'A MISSING CHILD.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'A MISSING CHILD.', 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0448f7bd-dec8-539e-80e2-f57c9d95441b,0,nyt://article/0448f7bd-dec8-539e-80e2-f57c9d95441b
Servian Territory not to be Entered by Turks,https://www.nytimes.com/1877/05/01/archives/relations-of-other-countries-the-closing-of-the-danube-a-violation.html,Servian Territory not to be Entered by Turks,,1,The New York Times,[],"{'main': 'RELATIONS OF OTHER COUNTRIES.; THE CLOSING OF THE DANUBE A VIOLATION OF THE TREATY OF PARIS--THE EGYPTIAN CONTINGENT--AUSTRIA AND THE CROATIAN FRONTIER--ITALY--GREECE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'RELATIONS OF OTHER COUNTRIES.; THE CLOSING OF THE DANUBE A VIOLATION OF THE TREATY OF PARIS--THE EGYPTIAN CONTINGENT--AUSTRIA AND THE CROATIAN FRONTIER--ITALY--GREECE.', 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/06c66af6-3b27-545f-ae2d-04ebaf366811,0,nyt://article/06c66af6-3b27-545f-ae2d-04ebaf366811
Excise Licenses; Bill Legalizing Passed; Abstract,https://www.nytimes.com/1877/05/01/archives/albany-the-state-legislature-an-evening-session-of-both-house-the.html,Excise Licenses; Bill Legalizing Passed; Abstract,,4,The New York Times,[],"{'main': ""ALBANY.; THE STATE LEGISLATURE. AN EVENING SESSION OF BOTH HOUSE THE ACTS OF BOARDS OF EXCISE--A NEW BILLS INTRODUCED BY MR. O'HARE."", 'kicker': None, 'content_kicker': None, 'print_headline': ""ALBANY.; THE STATE LEGISLATURE. AN EVENING SESSION OF BOTH HOUSE THE ACTS OF BOARDS OF EXCISE--A NEW BILLS INTRODUCED BY MR. O'HARE."", 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': 'Special Dispatch to the New-York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/08284844-cfbe-5ac3-b6b7-8b462d1c2784,0,nyt://article/08284844-cfbe-5ac3-b6b7-8b462d1c2784
Hartfords and Bostons; 12 Innings and a Drawn Game,https://www.nytimes.com/1877/05/01/archives/the-baseball-field-a-fine-contest-between-the-hartfords-and-bostons.html,Hartfords and Bostons; 12 Innings and a Drawn Game,,8,The New York Times,[],"{'main': 'THE BASE-BALL FIELD.; A FINE CONTEST BETWEEN THE HARTFORDS AND BOSTONS, RESULTING IN A TIE-- ONLY ONE RUN SCORED ON EACH SIDE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE BASE-BALL FIELD.; A FINE CONTEST BETWEEN THE HARTFORDS AND BOSTONS, RESULTING IN A TIE-- ONLY ONE RUN SCORED ON EACH SIDE.', 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/14ac73c6-346a-59eb-ae38-5178124e9fb0,0,nyt://article/14ac73c6-346a-59eb-ae38-5178124e9fb0
,https://www.nytimes.com/1877/05/01/archives/the-oxford-memorial.html,,,5,The New York Times,[],"{'main': 'THE OXFORD MEMORIAL.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE OXFORD MEMORIAL.', 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/176ded1f-56e9-57a7-ab0d-05e4c815eae5,0,nyt://article/176ded1f-56e9-57a7-ab0d-05e4c815eae5
"The Free Reading-room and Library of the Cooper Union will be closed on Sundays until the first Sunday in October, beginning next Sunday.  ",https://www.nytimes.com/1877/05/01/archives/city-and-suburban-news-newyork-brooklyn-staten-island-newjersey.html,,,8,The New York Times,[],"{'main': 'CITY AND SUBURBAN NEWS.; NEW-YORK. BROOKLYN. STATEN ISLAND. NEW-JERSEY.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'CITY AND SUBURBAN NEWS.; NEW-YORK. BROOKLYN. STATEN ISLAND. NEW-JERSEY.', 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1fafbf17-0ea6-5701-85a7-bfa17833a15c,0,nyt://article/1fafbf17-0ea6-5701-85a7-bfa17833a15c
,https://www.nytimes.com/1877/05/01/archives/religious-revival-in-seneca-county.html,,,5,The New York Times,[],"{'main': 'RELIGIOUS REVIVAL IN SENECA COUNTY.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'RELIGIOUS REVIVAL IN SENECA COUNTY.', 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/21b8b441-7b5c-5598-aa55-0dccf758f1b9,0,nyt://article/21b8b441-7b5c-5598-aa55-0dccf758f1b9
Allore vs. Jewell,https://www.nytimes.com/1877/05/01/archives/law-reports-answer-in-an-insurance-suit-what-the-president-of-the-a.html,Allore vs. Jewell,,2,The New York Times,[],"{'main': ""LAW REPORTS.; ANSWER IN AN INSURANCE SUIT. WHAT THE PRESIDENT OF THE AMERICAN POPULAR LIFE INSURANCE COMPANY SAYS--THE COMPANY'S AFFAIRS SENT TO A REFEREE."", 'kicker': None, 'content_kicker': None, 'print_headline': ""LAW REPORTS.; ANSWER IN AN INSURANCE SUIT. WHAT THE PRESIDENT OF THE AMERICAN POPULAR LIFE INSURANCE COMPANY SAYS--THE COMPANY'S AFFAIRS SENT TO A REFEREE."", 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/247e2e93-4121-5528-b501-1dcc967f4991,0,nyt://article/247e2e93-4121-5528-b501-1dcc967f4991
,https://www.nytimes.com/1877/05/01/archives/pacific-mail-steamers.html,,,4,The New York Times,[],"{'main': 'PACIFIC MAIL STEAMERS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'PACIFIC MAIL STEAMERS.', 'name': None, 'seo': None, 'sub': None}",[],1877-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/2843b309-9f66-5d09-87f4-fdab5ace8137,0,nyt://article/2843b309-9f66-5d09-87f4-fdab5ace8137
