abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,print_section
,https://www.nytimes.com/1906/08/01/archives/front-page-2-no-title.html,,,1,The New York Times,[],"{'main': 'Front Page 2 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Front Page 2 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/004ea6d7-3975-51fa-961a-38e80f6cf405,0,nyt://article/004ea6d7-3975-51fa-961a-38e80f6cf405,
"The thousands of men whom Augustus Weinberg Chairman of the United Tunnel Workers of this city, declared on Monday were to strike yesterday in the tunnels of this city did not strike. In fact, there was no outward sign of a strike at any one of the tunnel openings, although Weinberg insisted that there were 1,500 men out.  ",https://www.nytimes.com/1906/08/01/archives/talk-of-tunnel-strikes-proves-to-be-talk-only-union-chairman-dreams.html,,,5,The New York Times,[],"{'main': 'TALK OF TUNNEL STRIKES PROVES TO BE TALK ONLY; Union Chairman Dreams That 1,500 Men Are Out. TIMES REPORTER FINDS ONE He Was a Lone Negro Teamster with a Grievance of His Own -- Electricians Are Discontented.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'TALK OF TUNNEL STRIKES PROVES TO BE TALK ONLY; Union Chairman Dreams That 1,500 Men Are Out. TIMES REPORTER FINDS ONE He Was a Lone Negro Teamster with a Grievance of His Own -- Electricians Are Discontented.', 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/018bc5d1-7989-592a-b458-6edb87d698dd,0,nyt://article/018bc5d1-7989-592a-b458-6edb87d698dd,
,https://www.nytimes.com/1906/08/01/archives/topics-of-the-times.html,,,8,The New York Times,[],"{'main': 'TOPICS OF THE TIMES.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'TOPICS OF THE TIMES.', 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/03d14ec9-83c5-5222-ac54-6d5dd43f557f,0,nyt://article/03d14ec9-83c5-5222-ac54-6d5dd43f557f,
,https://www.nytimes.com/1906/08/01/archives/wakelys-saloon-moves-mr-sullivans-writing-table-smashed-for.html,,,9,The New York Times,[],"{'main': ""WAKELY'S SALOON MOVES.; Mr. Sullivan's Writing Table Smashed for Souvenirs -- Some Tears Shed."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""WAKELY'S SALOON MOVES.; Mr. Sullivan's Writing Table Smashed for Souvenirs -- Some Tears Shed."", 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/04857f1d-fa15-533b-aabb-356684c83687,0,nyt://article/04857f1d-fa15-533b-aabb-356684c83687,
"Brit plans to confer a const explained by Sec Churchill, Commons",https://www.nytimes.com/1906/08/01/archives/boers-and-britons-to-be-treated-alike-english-governments-plans-for.html,"Brit plans to confer a const explained by Sec Churchill, Commons",,5,The New York Times,[],"{'main': ""BOERS AND BRITONS TO BE TREATED ALIKE; English Government's Plans for Transvaal Constitution. VOTE FOR EVERY ADULT MALE Proposals Denounced by the Unionists, Who Say They Threaten British Supremacy in the Colony."", 'kicker': None, 'content_kicker': None, 'print_headline': ""BOERS AND BRITONS TO BE TREATED ALIKE; English Government's Plans for Transvaal Constitution. VOTE FOR EVERY ADULT MALE Proposals Denounced by the Unionists, Who Say They Threaten British Supremacy in the Colony."", 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/04c0c3a0-7d86-53ff-b9f0-f1acecc212dc,0,nyt://article/04c0c3a0-7d86-53ff-b9f0-f1acecc212dc,
"BALTIMORE, July 31. -- It was discovered early this morning that the box car containing George Rashid, or Rossett, the leper, had disappeared from its anchorage at Lorely, on the Baltimore  Ohio Railroad. Dr. John Fulton, Secretary of the State Board of Health, was also missing from his office here.  ",https://www.nytimes.com/1906/08/01/archives/leper-out-of-maryland-disappears-from-the-state-at-same-time-as.html,,,1,The New York Times,[],"{'main': 'LEPER OUT OF MARYLAND.; Disappears from the State at Same Time as Health Official.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LEPER OUT OF MARYLAND.; Disappears from the State at Same Time as Health Official.', 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0660f8b3-25d9-53e7-b204-03999af828a0,0,nyt://article/0660f8b3-25d9-53e7-b204-03999af828a0,
,https://www.nytimes.com/1906/08/01/archives/father-k-vaughan-here-agrees-with-his-brothers-strictures-on.html,,,14,The New York Times,[],"{'main': ""FATHER K. VAUGHAN HERE.; Agrees with His Brother's Strictures on England's Smart Set."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""FATHER K. VAUGHAN HERE.; Agrees with His Brother's Strictures on England's Smart Set."", 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c895c5d-a0ba-53b4-82de-8de6744c11db,0,nyt://article/0c895c5d-a0ba-53b4-82de-8de6744c11db,
,https://www.nytimes.com/1906/08/01/archives/kaiser-back-in-germany-watching-warships-target-practice-results.html,,,5,The New York Times,[],"{'main': ""KAISER BACK IN GERMANY.; Watching Warships' Target Practice -- Results Kept Secret."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""KAISER BACK IN GERMANY.; Watching Warships' Target Practice -- Results Kept Secret."", 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c99387e-0946-527a-a525-368a165ee850,0,nyt://article/0c99387e-0946-527a-a525-368a165ee850,
"Arrives, Cleveland; anxious that people know him as he really is",https://www.nytimes.com/1906/08/01/archives/rockefeller-in-cleveland-anxious-that-people-should-know-him-as-he.html,"Arrives, Cleveland; anxious that people know him as he really is",,1,The New York Times,[],"{'main': 'ROCKEFELLER IN CLEVELAND.; Anxious That People Should Know Him as He Really Is.', 'kicker': None, 'content_kicker': None, 'print_headline': 'ROCKEFELLER IN CLEVELAND.; Anxious That People Should Know Him as He Really Is.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'ROCKEFELLER, JOHN DAVISON SR.', 'rank': 1, 'major': 'N'}]",1906-08-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0ef4f24b-c55a-52d6-98f3-592d3a7a177a,0,nyt://article/0ef4f24b-c55a-52d6-98f3-592d3a7a177a,
"Controller Metz presided at a conference to consider inter-bridge communication yesterday afternoon. Those present at the meeting besides the Controller were President Winter of the Brooklyn Rapid Transit Company, De Lancey Nicoll, representing the Interborough Rapid Transit Company, and George S. Rice, Chief Engineer of the Rapid Transit Commission.  ",https://www.nytimes.com/1906/08/01/archives/favor-an-elevated-loop-controller-and-transit-officials-discuss.html,,,14,The New York Times,[],"{'main': 'FAVOR AN ELEVATED LOOP.; Controller and Transit Officials Discuss Bridge Link.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'FAVOR AN ELEVATED LOOP.; Controller and Transit Officials Discuss Bridge Link.', 'name': None, 'seo': None, 'sub': None}",[],1906-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0f52422f-a61a-51ca-9d58-c000219843d0,0,nyt://article/0f52422f-a61a-51ca-9d58-c000219843d0,
