abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
on forecast of the Rebellion,https://www.nytimes.com/1865/01/01/archives/a-forecast-of-the-rebellion.html,on forecast of the Rebellion,"-- We give place to-day to a communication, written fourteen years ago, in which our distinguished cosmopolitan correspondent, DON RUFINO M. DE ALFARERO Y. CAMPION, shows how shrewd ly he was able to forecast many of the great events which have transpired since the opening of the rebellion. Among the arguments most lucidly illustrated in our correspondent's letter, are those which show the impossibility of securing Peace by Disunion, and which make it apparent that a dissolution of the Union would be ruin of the South. There is admirable pertinence, too, in our correspondent's illustrations of the logical consequences of the South depending, for the establishment of a separate nationality, upon England.",4,The New York Times,[],"{'main': 'A FORECAST OF THE REBELLION.', 'kicker': None, 'content_kicker': None, 'print_headline': 'A FORECAST OF THE REBELLION.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Editorials', 'rank': 1, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/085f17b7-e333-5a0d-84cb-807d7000269e,177,nyt://article/085f17b7-e333-5a0d-84cb-807d7000269e
"Dallas, Hon George M.",https://www.nytimes.com/1865/01/01/archives/army-of-the-potomac-new-rebel-batteries-deserters-capture-of-a.html,"Dallas, Hon George M.","WASHINGTON, Saturday, Dec. 31.",8,The New York Times,[],"{'main': 'ARMY OF THE POTOMAC.; New Rebel Batteries Deserters Capture of a Rebel Spy. From Barmuda. From Cincinnati. Weather. Philadelphia Stock Board. Obituary.', 'kicker': None, 'content_kicker': None, 'print_headline': 'ARMY OF THE POTOMAC.; New Rebel Batteries Deserters Capture of a Rebel Spy. From Barmuda. From Cincinnati. Weather. Philadelphia Stock Board. Obituary.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 1, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0b07427b-b006-5cbf-89a8-cdfcfbce31e8,593,nyt://article/0b07427b-b006-5cbf-89a8-cdfcfbce31e8
"Thirteen, The, Appeal of Rejected; Electoral Liberty and Judicial Purity in France",https://www.nytimes.com/1865/01/01/archives/electoral-liberty-and-juridicial-purity-in-france.html,"Thirteen, The, Appeal of Rejected; Electoral Liberty and Judicial Purity in France","The cause of popular freedom in France has experienced another disaster. The appeal of the "" Thirteen"" to the Court Imperial has failed, and the sentence of the inferior court has been confirmed -- that is, the accused must pay a fine of five hundred francs each or go to prison.",4,The New York Times,[],"{'main': 'Electoral Liberty and Juridicial Purity in France.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Electoral Liberty and Juridicial Purity in France.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'France', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 2, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bb72a7c-f94b-5535-8e06-6d766d0d856d,671,nyt://article/0bb72a7c-f94b-5535-8e06-6d766d0d856d
Reported Death of,https://www.nytimes.com/1865/01/01/archives/from-sheridans-army-the-weatherchristmasthe-late-victory-at.html,Reported Death of,From Our Own Correspondent.,8,The New York Times,[],"{'main': ""FROM SHERIDAN'S ARMY.; The Weather--Christmas--The Late Victory at Savannah--Return of Captured Officers--Personal Matters--A Timely Order. A Reconnoissance by the Cavalry to Gordonsville--Two Guns Captured--The Rumored Death of Mosby."", 'kicker': None, 'content_kicker': None, 'print_headline': ""FROM SHERIDAN'S ARMY.; The Weather--Christmas--The Late Victory at Savannah--Return of Captured Officers--Personal Matters--A Timely Order. A Reconnoissance by the Cavalry to Gordonsville--Two Guns Captured--The Rumored Death of Mosby."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'WAR', 'rank': 1, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c131c1d-6232-533b-b11a-9596010b4305,1865,nyt://article/0c131c1d-6232-533b-b11a-9596010b4305
Precedents in International Law; English Precedents on,https://www.nytimes.com/1865/01/01/archives/english-precedents-in-international-law.html,Precedents in International Law; English Precedents on,"The letter which Prof. GOLDWIN SMITH addressed to the Boston Advertiser, and which was copied in one of our recent issues, conveyed, in the well-known nervous style of the author, a most just rebuke to a growing habit, both of our public men and our press. Whenever an irregular or unjust action is committed by our naval officers, or generals, or magistrates -- when the only rational course for any sensible American is to at once confess that the thing was out of order, and must be redressed -- there at once starts up some so-called ""statesman,"" or industrious journalist, who amazes the public with an immense list of English precedents, with precisely the same odious, tyrannical or unjust character as the deed in question. The docile people are instructed that such actions are excusable or even right, because England has committed similar, and they leave the perusal of these clever briefs of their attorneys with the idea, that on the whole the American Republic is right if it does not do more or worse than its powerful ancestor has done. When the Trent affair occurred, there was not a popular leader, so far as we remember, who recalled to the nation its own advanced and liberal position on international questions, and the noble traditions and precedents of its past, and its duty in taking a more enlightened and generous view of these matters than had been taken by the Old World. All that we had from our professed guides were appeals to the passions of the hour, and miserable citations from what GOLDWIN SMITH so happily calls, ""the criminal records"" of England.",4,The New York Times,[],"{'main': 'English Precedents in International Law.', 'kicker': None, 'content_kicker': None, 'print_headline': 'English Precedents in International Law.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'INTERNATIONAL LAW', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 2, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0d85ddcb-ec64-519d-8f71-a826a6e3da75,855,nyt://article/0d85ddcb-ec64-519d-8f71-a826a6e3da75
From the New-York Tribune.,https://www.nytimes.com/1865/01/01/archives/conduct-of-the-treasury-treasury-affairs-errors-corrected.html,,From the New-York Tribune.,6,The New York Times,[],"{'main': 'Conduct of the Treasury.; TREASURY AFFAIRS ERRORS CORRECTED.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Conduct of the Treasury.; TREASURY AFFAIRS ERRORS CORRECTED.', 'name': None, 'seo': None, 'sub': None}",[],1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1e684cb8-9858-51d6-b237-4f3a2489ca11,402,nyt://article/1e684cb8-9858-51d6-b237-4f3a2489ca11
Forecast of the War; Forecast of the War,https://www.nytimes.com/1865/01/01/archives/forecastings-of-the-war-the-prospects-of-a-southern-confederacy.html,Forecast of the War; Forecast of the War,"NEW-YORK, Monday, Dec. 19, 1864.",3,The New York Times,[],"{'main': 'FORECASTINGS OF THE WAR.; The Prospects of a Southern Confederacy Compared With Those of What is Called a "" A Boneless Minority."" NOTE IN PRODUCTORY. RUFINO M. DE ALFARRERO CAMPEON.', 'kicker': None, 'content_kicker': None, 'print_headline': 'FORECASTINGS OF THE WAR.; The Prospects of a Southern Confederacy Compared With Those of What is Called a "" A Boneless Minority."" NOTE IN PRODUCTORY. RUFINO M. DE ALFARRERO CAMPEON.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'WAR', 'rank': 1, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/205d41ad-c5b8-50f3-987f-a33c7ede70e9,4588,nyt://article/205d41ad-c5b8-50f3-987f-a33c7ede70e9
"Goerck, S, Poisoning Case",https://www.nytimes.com/1865/01/01/archives/the-goerckstreet-poisoning-case-coroners-inquest-the-wretched.html,"Goerck, S, Poisoning Case","On Friday evening Coroner WILDEY held an inquest upon the bodies of GEORGE HENRY and MARGARET DUSENBURY, the children who were poisoned on Thursday night by their mother, Mrs. ELIZABETH DUBENBURY.",1,The New York Times,[],"{'main': ""THE GOERCK-STREET POISONING CASE.; Coroner's Inquest The Wretched Mother Held to Answer."", 'kicker': None, 'content_kicker': None, 'print_headline': ""THE GOERCK-STREET POISONING CASE.; Coroner's Inquest The Wretched Mother Held to Answer."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 1, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/22a5cdec-e6d5-555d-9e53-d39698199c28,925,nyt://article/22a5cdec-e6d5-555d-9e53-d39698199c28
Politics in,https://www.nytimes.com/1865/01/01/archives/politics-in-greece.html,Politics in,"The King of the Greeks has taken the oath prescribed by the new Constitution, and the National Assembly has been dissolved. Before taking the oath, his Majesty addressed some admirable words to the Assembly: ""Representatives,"" said he, ""in taking the oath to observe the Constitution, I feel convinced that it is the duly both of governors and of the governed to observe with fidelity all its provisions, and to obey strictly all the laws of the State."" This is a sentiment worthy the sovereign of a free people, and would be a guarantee for the stability of the Constitution if the power of the young monarch were equal to his good intentions. But this is far from being the case. GEORGE I. of Greece is bound to be swayed and controlled by his Ministers, like other constitutional Kings, and, as it is by no means certain that those functionaries will entertain their master's respect for the law, it would be rather unsafe to prognosticate the long life of the new Constitution because of the royal address.",4,The New York Times,[],"{'main': 'Politics in Greece.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Politics in Greece.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Greece', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 2, 'major': 'N'}]",1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/2b164f4b-3e0f-51a8-bdf5-17b9f3f57415,528,nyt://article/2b164f4b-3e0f-51a8-bdf5-17b9f3f57415
"-Last evening, E. DELAFIELD SMITH, Esq., representing many citizens of the Eighteenth Ward, presented Capt. J. CAMERON a superb baton and belt, and a $500 United States five-twenty. Commendably, brief and excellent-tempered speeches were made by Capt. CAMERON, Postmaster KELLY, Inspector CARPENTER, Capt. COPELAND, Senator LAIMBEER and others; after which a collation was served.",https://www.nytimes.com/1865/01/01/archives/present-to-a-worthy-officer.html,,"-Last evening, E. DELAFIELD SMITH, Esq., representing many citizens of the Eighteenth Ward, presented Capt. J. CAMERON a superb baton and belt, and a $500 United States five-twenty. Commendably, brief and excellent-tempered speeches were made by Capt. CAMERON, Postmaster KELLY, Inspector CARPENTER, Capt. COPELAND, Senator LAIMBEER and others; after which a collation was served.",4,The New York Times,[],"{'main': 'PRESENT TO A WORTHY OFFICER.', 'kicker': None, 'content_kicker': None, 'print_headline': 'PRESENT TO A WORTHY OFFICER.', 'name': None, 'seo': None, 'sub': None}",[],1865-01-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/3a431703-da01-5ec1-9326-6e214254dc7b,54,nyt://article/3a431703-da01-5ec1-9326-6e214254dc7b
