abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,print_section
"""The President"" Hawtrey",https://www.nytimes.com/1902/05/01/archives/hawtrey-in-london-again-plays-in-the-president-a-new-piece-by-frank.html,"""The President"" Hawtrey",,9,The New York Times,[],"{'main': 'HAWTREY IN LONDON AGAIN.; Plays in ""The President,"" a New Piece by Frank Stayton.', 'kicker': None, 'content_kicker': None, 'print_headline': 'HAWTREY IN LONDON AGAIN.; Plays in ""The President,"" a New Piece by Frank Stayton.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'LONDON', 'rank': 1, 'major': 'N'}]",1902-05-01T05:00:00+0000,article,None,Archives,"{'original': 'Special Cable to THE NEW YORK TIMES.E.A.D', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/00a38ae3-6e06-5045-b6c6-ce41b8216e84,0,nyt://article/00a38ae3-6e06-5045-b6c6-ce41b8216e84,
,https://www.nytimes.com/1902/05/01/archives/obituary-notes.html,,,9,The New York Times,[],"{'main': 'Obituary Notes.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Obituary Notes.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0325279e-513c-5b09-8a97-bca63357b798,0,nyt://article/0325279e-513c-5b09-8a97-bca63357b798,
Bell-Boggs,https://www.nytimes.com/1902/05/01/archives/promotion-won-his-bride-romance-bertrand-f-bell-a-wealthy-new.html,Bell-Boggs,,1,The New York Times,[],"{'main': 'PROMOTION WON HIS BRIDE; Romance Bertrand F. Bell, a Wealthy New Yorker. He Was a Laborer in Railroad Shops in Chillicothe When He Met His Sweetheart, Miss Boggs.', 'kicker': None, 'content_kicker': None, 'print_headline': 'PROMOTION WON HIS BRIDE; Romance Bertrand F. Bell, a Wealthy New Yorker. He Was a Laborer in Railroad Shops in Chillicothe When He Met His Sweetheart, Miss Boggs.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/042aaafc-94b5-59b1-89d8-265660fa4ccb,0,nyt://article/042aaafc-94b5-59b1-89d8-265660fa4ccb,
,https://www.nytimes.com/1902/05/01/archives/yachting-news-from-city-island.html,,,6,The New York Times,[],"{'main': 'Yachting News from City Island.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Yachting News from City Island.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0737e85c-ab1e-5bae-8af8-31469126cfb8,0,nyt://article/0737e85c-ab1e-5bae-8af8-31469126cfb8,
,https://www.nytimes.com/1902/05/01/archives/party-reform-in-brooklyn.html,,,2,The New York Times,[],"{'main': 'Party Reform in Brooklyn.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Party Reform in Brooklyn.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/07bbf3c2-83a0-53f1-8a32-96e1ff6ecaf0,0,nyt://article/07bbf3c2-83a0-53f1-8a32-96e1ff6ecaf0,
,https://www.nytimes.com/1902/05/01/archives/english-golf-favorites-winning.html,,,6,The New York Times,[],"{'main': 'English Golf Favorites Winning.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'English Golf Favorites Winning.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08a91665-2313-5d0f-a4d8-d7372cec757c,0,nyt://article/08a91665-2313-5d0f-a4d8-d7372cec757c,
,https://www.nytimes.com/1902/05/01/archives/lr-bacons-tarrytown-estate-sold.html,,,14,The New York Times,[],"{'main': ""L.R. Bacon's Tarrytown Estate Sold."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""L.R. Bacon's Tarrytown Estate Sold."", 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/097c1fca-e084-5e68-9cf4-ca402dc84e51,0,nyt://article/097c1fca-e084-5e68-9cf4-ca402dc84e51,
N. Y. City P. O. Site,https://www.nytimes.com/1902/05/01/archives/our-new-post-office.html,N. Y. City P. O. Site,,8,The New York Times,[],"{'main': 'OUR NEW POST OFFICE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'OUR NEW POST OFFICE.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0a46b2cc-8eac-55c1-ab08-55af62b555fd,0,nyt://article/0a46b2cc-8eac-55c1-ab08-55af62b555fd,
,https://www.nytimes.com/1902/05/01/archives/sons-of-the-revolution-national-society-opens-its-annual-congress.html,,,3,The New York Times,[],"{'main': 'SONS OF THE REVOLUTION.; National Society Opens Its Annual Congress in Washington.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'SONS OF THE REVOLUTION.; National Society Opens Its Annual Congress in Washington.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0a90e8c0-e7a0-5bb9-863b-89194636c970,0,nyt://article/0a90e8c0-e7a0-5bb9-863b-89194636c970,
"The Century Run Committee of the New York State Division, Century Road Club of America, has arranged a decided innovation for the finish of its sixth annual open Spring century run from Brooklyn to Oakdale, L.I., and return on May 18. After dinner at Babylon, a racing division will be formed which will race the thirty-seven miles from that place to the finish at Bedford Rest, Brooklyn.  ",https://www.nytimes.com/1902/05/01/archives/special-prizes-for-cyclists-century-road-club-prepares-novel.html,,,6,The New York Times,[],"{'main': 'SPECIAL PRIZES FOR CYCLISTS.; Century Road Club Prepares Novel Features for May 18 -- Many Runs for Brooklyn Wheelmen.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'SPECIAL PRIZES FOR CYCLISTS.; Century Road Club Prepares Novel Features for May 18 -- Many Runs for Brooklyn Wheelmen.', 'name': None, 'seo': None, 'sub': None}",[],1902-05-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0e526bdb-8099-51ee-878a-7fd277df8630,0,nyt://article/0e526bdb-8099-51ee-878a-7fd277df8630,
