abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,print_section
,https://www.nytimes.com/1901/10/01/archives/miss-simplicity-appears-frank-daniels-opens-the-season-in-a-new.html,,,8,The New York Times,[],"{'main': '""MISS SIMPLICITY"" APPEARS.; Frank Daniels Opens the Season in a New Play.', 'kicker': '1', 'content_kicker': None, 'print_headline': '""MISS SIMPLICITY"" APPEARS.; Frank Daniels Opens the Season in a New Play.', 'name': None, 'seo': None, 'sub': None}",[],1901-10-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/028fece6-3cd8-5419-b60e-5211c279a608,0,nyt://article/028fece6-3cd8-5419-b60e-5211c279a608,
,https://www.nytimes.com/1901/10/01/archives/the-alleged-mutiny-at-danzig.html,,,1,The New York Times,[],"{'main': 'THE ALLEGED MUTINY AT DANZIG.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE ALLEGED MUTINY AT DANZIG.', 'name': None, 'seo': None, 'sub': None}",[],1901-10-01T05:00:00+0000,article,None,Archives,"{'original': 'LONDON TIMES -- NEW YORK TIMES Special Cablegram', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/02de4b22-8f68-5d5c-b62b-3451ef0f2cf2,0,nyt://article/02de4b22-8f68-5d5c-b62b-3451ef0f2cf2,
U. S. Relations; John Charlton,https://www.nytimes.com/1901/10/01/archives/canadas-commercial-policy-joint-high-commission-member-says.html,U. S. Relations; John Charlton,,3,The New York Times,[],"{'main': ""CANADA'S COMMERCIAL POLICY.; Joint High Commission Member Says Dominion Must Change Its Attitude Toward the United States."", 'kicker': None, 'content_kicker': None, 'print_headline': ""CANADA'S COMMERCIAL POLICY.; Joint High Commission Member Says Dominion Must Change Its Attitude Toward the United States."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Canada', 'rank': 1, 'major': 'N'}]",1901-10-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/046fd4de-370b-548b-9195-827f255cae36,0,nyt://article/046fd4de-370b-548b-9195-827f255cae36,
Kwang-Tung Mission Burned,https://www.nytimes.com/1901/10/01/archives/a-kwangtung-mission-burned.html,Kwang-Tung Mission Burned,,1,The New York Times,[],"{'main': 'A KWANG-TUNG MISSION BURNED.', 'kicker': None, 'content_kicker': None, 'print_headline': 'A KWANG-TUNG MISSION BURNED.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'China', 'rank': 1, 'major': 'N'}]",1901-10-01T05:00:00+0000,article,None,Archives,"{'original': 'LONDON TIMES -- NEW YORK TIMES Special Cablegram', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/06577eae-e44f-51df-8d97-69d66ff9fe6d,0,nyt://article/06577eae-e44f-51df-8d97-69d66ff9fe6d,
"Justice Gildersleeve, sitting in the extraordinary term of the Criminal Branch of the Supreme Court, yesterday dismissed the indictments against Fire Commissioner John J. Scannell and William L. Marks.  ",https://www.nytimes.com/1901/10/01/archives/scannells-plea-successful-indictments-against-him-dismissed-special.html,,,16,The New York Times,[],"{'main': ""SCANNELL'S PLEA SUCCESSFUL; Indictments Against Him Dismissed -- Special Counsel's Appearance Before the Grand Jury Declared Illegal."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""SCANNELL'S PLEA SUCCESSFUL; Indictments Against Him Dismissed -- Special Counsel's Appearance Before the Grand Jury Declared Illegal."", 'name': None, 'seo': None, 'sub': None}",[],1901-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0a86839b-4b7f-5ca4-abb8-06fbe6186c2a,0,nyt://article/0a86839b-4b7f-5ca4-abb8-06fbe6186c2a,
,https://www.nytimes.com/1901/10/01/archives/front-page-6-no-title.html,,,1,The New York Times,[],"{'main': 'Front Page 6 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Front Page 6 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1901-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0ac3aeb3-b101-5bf7-9478-91b8bfe49743,0,nyt://article/0ac3aeb3-b101-5bf7-9478-91b8bfe49743,
Liberty Belles,https://www.nytimes.com/1901/10/01/archives/the-liberty-belles-a-pleasing-comedy-music-is-bright-and-the-play.html,Liberty Belles,,8,The New York Times,[],"{'main': '""THE LIBERTY BELLES"" A PLEASING COMEDY; Music Is Bright and the Play Is Full of Life and Color. "" The Cipher Code,"" Charles Klein\'s Play, Is Strong, and Pleased the Audience -- The Plays of the Week.', 'kicker': None, 'content_kicker': None, 'print_headline': '""THE LIBERTY BELLES"" A PLEASING COMEDY; Music Is Bright and the Play Is Full of Life and Color. "" The Cipher Code,"" Charles Klein\'s Play, Is Strong, and Pleased the Audience -- The Plays of the Week.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'AMUSEMENTS', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AMUSEMENTS', 'rank': 2, 'major': 'N'}]",1901-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0be9cd7e-dc36-520a-b749-ad7ed59cc9fc,0,nyt://article/0be9cd7e-dc36-520a-b749-ad7ed59cc9fc,
,https://www.nytimes.com/1901/10/01/archives/notes-of-insurance-interests.html,,,13,The New York Times,[],"{'main': 'NOTES OF INSURANCE INTERESTS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'NOTES OF INSURANCE INTERESTS.', 'name': None, 'seo': None, 'sub': None}",[],1901-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/10b1ae2f-a789-5862-bf9a-7d370a47b6ad,0,nyt://article/10b1ae2f-a789-5862-bf9a-7d370a47b6ad,
,https://www.nytimes.com/1901/10/01/archives/the-chaperons-produced-frank-l-perleys-company-opens-its-season-in.html,,,8,The New York Times,[],"{'main': '""THE CHAPERONS"" PRODUCED.; Frank L. Perley\'s Company Opens Its Season in Hartford.', 'kicker': '1', 'content_kicker': None, 'print_headline': '""THE CHAPERONS"" PRODUCED.; Frank L. Perley\'s Company Opens Its Season in Hartford.', 'name': None, 'seo': None, 'sub': None}",[],1901-10-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/120c1b5d-6f69-5f50-a065-ab22b9a3169f,0,nyt://article/120c1b5d-6f69-5f50-a065-ab22b9a3169f,
Tests Abandoned,https://www.nytimes.com/1901/10/01/archives/torpedo-boat-test-abandoned.html,Tests Abandoned,,9,The New York Times,[],"{'main': 'Torpedo Boat Test Abandoned.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Torpedo Boat Test Abandoned.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'United States Navy', 'rank': 1, 'major': 'N'}]",1901-10-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/165d76b1-5bb3-5402-bd1e-e8b4f97a20da,0,nyt://article/165d76b1-5bb3-5402-bd1e-e8b4f97a20da,
