abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"THERE is at hand a renaissance of the ballet in America. We have had signs and signs, but now it seems to have come. Probably the best of these signs was the ballet of ""Versailles,"" given in Koster  Bial's Thirty-fourth Street house several years ago. ""Versailles"" was doubtless the most complete and artistic ballet seen here since the glory of the ""Black Crook"" dawned upon a virtuous but discreet public.  ",https://www.nytimes.com/1901/09/01/archives/revival-of-the-ballet-bonfanti-and-her-triumphs-vogue-of-the.html,,,MAGAZINE,3,The New York Times,[],"{'main': 'Revival of the Ballet; Bonfanti and Her Triumphs Vogue of the British Blondes An Attempt to Revivify the Sensation of the Black Crook Days', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Revival of the Ballet; Bonfanti and Her Triumphs Vogue of the British Blondes An Attempt to Revivify the Sensation of the Black Crook Days', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/02be9424-f603-5a18-a903-b083653f548f,0,nyt://article/02be9424-f603-5a18-a903-b083653f548f
Motherwell (Scot.) Town Hall,https://www.nytimes.com/1901/09/01/archives/new-french-liner-sails-la-savoie-starts-on-her-maiden-voyage-for.html,Motherwell (Scot.) Town Hall,,,3,The New York Times,[],"{'main': 'NEW FRENCH LINER SAILS.; La Savoie Starts on Her Maiden Voyage for This Port -- Paris Journalists Among the Passengers.', 'kicker': None, 'content_kicker': None, 'print_headline': 'NEW FRENCH LINER SAILS.; La Savoie Starts on Her Maiden Voyage for This Port -- Paris Journalists Among the Passengers.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Carnegie, Andrew', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Gifts', 'rank': 2, 'major': 'N'}]",1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/02e073e5-4f48-50ea-8357-438b1e11e50f,0,nyt://article/02e073e5-4f48-50ea-8357-438b1e11e50f
"BUFFALO, Aug. 31. -- The heavy rain of this morning left the tribune of the PanAmerican Stadium wet and soggy for the last day of the Irish sports. Summaries:  ",https://www.nytimes.com/1901/09/01/archives/ny-athletes-win-at-buffalo-blackburn-mitchell-and-harris-get-first.html,,,,7,The New York Times,[],"{'main': 'N.Y. ATHLETES WIN AT BUFFALO.; Blackburn, Mitchell, and Harris Get First Places in Irish Sports.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'N.Y. ATHLETES WIN AT BUFFALO.; Blackburn, Mitchell, and Harris Get First Places in Irish Sports.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/03a13822-2964-5ecc-be34-e6a4d5226c15,0,nyt://article/03a13822-2964-5ecc-be34-e6a4d5226c15
,https://www.nytimes.com/1901/09/01/archives/plea-for-poor-music-students.html,,,,4,The New York Times,[],"{'main': 'PLEA FOR POOR MUSIC STUDENTS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'PLEA FOR POOR MUSIC STUDENTS.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': 'AN ADMIRER OF MUSIC', 'person': [{'firstname': 'An', 'middlename': 'Admirer', 'lastname': 'OF', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0465ff46-6c9e-5ff8-8fdf-f7de18af5e6c,0,nyt://article/0465ff46-6c9e-5ff8-8fdf-f7de18af5e6c
Rough Rider History for N. M State Report,https://www.nytimes.com/1901/09/01/archives/laundry-machinery-combine-ninetysix-per-cent-of-the-output-goes.html,Rough Rider History for N. M State Report,,,3,The New York Times,[],"{'main': 'LAUNDRY MACHINERY COMBINE.; Ninety-six Per Cent. of the Output Goes Under One Control -- Capital, $16,500,000.', 'kicker': None, 'content_kicker': None, 'print_headline': 'LAUNDRY MACHINERY COMBINE.; Ninety-six Per Cent. of the Output Goes Under One Control -- Capital, $16,500,000.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Roosevelt, Theodore', 'rank': 1, 'major': 'N'}]",1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/054a7079-3971-5e3e-b630-6650fe61e458,0,nyt://article/054a7079-3971-5e3e-b630-6650fe61e458
"ACTORS, especially noted ones, are sometimes sensitive upon being Imitated, and nono was more particular in this respect than Charles Fechter.  ",https://www.nytimes.com/1901/09/01/archives/fechter-and-dan-leeson.html,,,MAGAZINE,4,The New York Times,[],"{'main': 'Fechter and ""Dan"" Leeson.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Fechter and ""Dan"" Leeson.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0663d85b-bd94-5a18-a720-f74eb5fc10a4,0,nyt://article/0663d85b-bd94-5a18-a720-f74eb5fc10a4
"Two sons of Richard Croker, Richard, Jr., and Herbert, returned on the Campania yesterday from a visit to their father. They were met at the dock by their brother Frank, but refused to say anything of their father's movements or plans.  ",https://www.nytimes.com/1901/09/01/archives/croker-boys-returnhome-profess-not-to-know-when-there-father-is.html,,,,9,The New York Times,[],"{'main': 'CROKER BOYS RETURN-HOME.; Profess Not to Know When There Father is Coming.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'CROKER BOYS RETURN-HOME.; Profess Not to Know When There Father is Coming.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/07971d81-ff9d-59a5-81b6-b1483fa117b9,0,nyt://article/07971d81-ff9d-59a5-81b6-b1483fa117b9
"-- Innumerable annual meetings of one sort or another have been held in Buffalo this Summer by organizations, the members of which wanted to combine their special business with the pleasure of seeing the Pan-American Exposition. So far as known, the plan has worked satisfactorily enough in most cases, and to it the show has undoubtedly owed not a little of its success.  ",https://www.nytimes.com/1901/09/01/archives/topics-of-the-times.html,,,,4,The New York Times,[],"{'main': 'TOPICS OF THE TIMES.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'TOPICS OF THE TIMES.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/07a90388-cc0e-5cd1-a34e-f11f506282aa,0,nyt://article/07a90388-cc0e-5cd1-a34e-f11f506282aa
"From The Empire Review. The sentiments of the people as to the continuance of the war are by no means unanimous. Not long ago two Transvaal women (""black capples"") came two see me about some trifle, and fell to discussing the situation of affairs. One said: ""I have lost all hope.  ",https://www.nytimes.com/1901/09/01/archives/in-a-boer-refuge-camp.html,,,MAGAZINE,23,The New York Times,[],"{'main': 'In a Boer Refuge Camp.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'In a Boer Refuge Camp.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0b014194-b5be-5a74-a54e-d6a10349e2a3,0,nyt://article/0b014194-b5be-5a74-a54e-d6a10349e2a3
,https://www.nytimes.com/1901/09/01/archives/the-london-market.html,,,,10,The New York Times,[],"{'main': 'THE LONDON MARKET.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE LONDON MARKET.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0b538106-0dfe-5a37-8b1c-4a81e071d2f7,0,nyt://article/0b538106-0dfe-5a37-8b1c-4a81e071d2f7
"PATERSON, N.J., Aug. 31. -- John W. Harding, counsel for Frank  Dugan, the ribbon manufacturers, wno are making a strong fight against the silk labor organizations in this city, to-day served notice on Blauvelt  Hughes, counsel for the strikers convicted on contempt and sentenced by Vice Chancellor Pitney, that he would move for the dismissal of the strikers' appeal on the opening day of the Court of Errors and Appeals in November.  ",https://www.nytimes.com/1901/09/01/archives/silk-labor-contempt-appeal-counsel-for-manufacturers-says-he-will.html,,,,8,The New York Times,[],"{'main': 'SILK LABOR CONTEMPT APPEAL.; Counsel for Manufacturers Says He Will Move Its Dismissal.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'SILK LABOR CONTEMPT APPEAL.; Counsel for Manufacturers Says He Will Move Its Dismissal.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bba7571-c99f-53dd-9b9e-3bf0eec30059,0,nyt://article/0bba7571-c99f-53dd-9b9e-3bf0eec30059
The Junior Order United American Mechanics is to present a handsome badge to Rear Admiral Schley in Baltimore on Tuesday.  ,https://www.nytimes.com/1901/09/01/archives/general-notes.html,,,,4,The New York Times,[],"{'main': 'GENERAL NOTES.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'GENERAL NOTES.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bc6baf8-73fd-5330-97b0-43a31a2585c9,0,nyt://article/0bc6baf8-73fd-5330-97b0-43a31a2585c9
,https://www.nytimes.com/1901/09/01/archives/a-faithful-dogs-epitaph.html,,,MAGAZINE,5,The New York Times,[],"{'main': ""A FAITHFUL DOG'S EPITAPH."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""A FAITHFUL DOG'S EPITAPH."", 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c9169af-dd42-52ba-84d9-ea3fb2787ee5,0,nyt://article/0c9169af-dd42-52ba-84d9-ea3fb2787ee5
"A LITTLE boy of perhaps five years old, hailing from a small town in Iowa, was yesterday in the neighborhood of Eighth Street. That it was the youngster's first visit to the city was easily guessed from the fascinated manner in which he viewed his surroundings. His eyes grew steadily larger as each new and wonderful object appeared before him.  ",https://www.nytimes.com/1901/09/01/archives/strange-eighth-street-sight.html,,,MAGAZINE,18,The New York Times,[],"{'main': 'Strange Eighth Street Sight.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Strange Eighth Street Sight.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0ebfdca4-6802-5df0-83b1-2a807a9733d1,0,nyt://article/0ebfdca4-6802-5df0-83b1-2a807a9733d1
,https://www.nytimes.com/1901/09/01/archives/notes-of-insurance-interests.html,,,,11,The New York Times,[],"{'main': 'NOTES OF INSURANCE INTERESTS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'NOTES OF INSURANCE INTERESTS.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0ec345ba-164b-59e2-a862-de1cc4f4c546,0,nyt://article/0ec345ba-164b-59e2-a862-de1cc4f4c546
"From The Nineteenth Century. Discovery was first made at Bhattiprolu of a great granite ball, nine or ten feet in circumference, bearing traces of heavy gilding, Extreme importance was attached to this find by the fact that an inscription in clear Asokan characters was discovered cut on the inner surface of the bisection, by which the mass fell apart upon the application of pressure.  ",https://www.nytimes.com/1901/09/01/archives/a-remnant-of-buddha.html,,,MAGAZINE,23,The New York Times,[],"{'main': 'A Remnant of Buddha.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'A Remnant of Buddha.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0f0e60b1-204c-5da7-8795-ede3e6a2cc66,0,nyt://article/0f0e60b1-204c-5da7-8795-ede3e6a2cc66
Will; Young Men's Club,https://www.nytimes.com/1901/09/01/archives/dr-hollander-resigns-treasurer-of-porto-rico-returns-to-johns.html,Will; Young Men's Club,,,5,The New York Times,[],"{'main': 'DR. HOLLANDER RESIGNS.; Treasurer of Porto Rico Returns to Johns Hopkins University.', 'kicker': None, 'content_kicker': None, 'print_headline': 'DR. HOLLANDER RESIGNS.; Treasurer of Porto Rico Returns to Johns Hopkins University.', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0f2ac141-cc8f-52da-aaf2-5b4966b10b62,0,nyt://article/0f2ac141-cc8f-52da-aaf2-5b4966b10b62
,https://www.nytimes.com/1901/09/01/archives/death-follows-dogs-bite-john-hopper-of-polifly-nj-injured-three.html,,,,8,The New York Times,[],"{'main': ""DEATH FOLLOWS DOG'S BITE.; John Hopper of Polifly, N.J., Injured Three Months Ago, Expires in Convulsions."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""DEATH FOLLOWS DOG'S BITE.; John Hopper of Polifly, N.J., Injured Three Months Ago, Expires in Convulsions."", 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/112cc240-b561-5876-ba52-5a1c834c57dc,0,nyt://article/112cc240-b561-5876-ba52-5a1c834c57dc
"MRS. WILLIAM PAYNE THOMPSON wore one day at the tennis court of the Newport Casino a gown of rose pink organdie cross-barred with white. The trailing skirt had a deep flounce, and above it were horizontal insertions of white lace. The blousing bodice had a short yoke of white lace, and in the lower half were lace insertions.  ",https://www.nytimes.com/1901/09/01/archives/gowns-of-wellknown-women.html,,,MAGAZINE,16,The New York Times,[],"{'main': 'Gowns of Well-Known Women', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Gowns of Well-Known Women', 'name': None, 'seo': None, 'sub': None}",[],1901-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/113a2408-87ec-5845-9154-eb89268cdf38,0,nyt://article/113a2408-87ec-5845-9154-eb89268cdf38
