abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,print_section
,https://www.nytimes.com/1905/12/01/archives/bank-of-england.html,,,11,The New York Times,[],"{'main': 'BANK OF ENGLAND.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'BANK OF ENGLAND.', 'name': None, 'seo': None, 'sub': None}",[],1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/01c2a956-0766-591c-8a95-2e3b5cba19d8,0,nyt://article/01c2a956-0766-591c-8a95-2e3b5cba19d8,
,https://www.nytimes.com/1905/12/01/archives/obituary-1-no-title.html,,,9,The New York Times,[],"{'main': 'Obituary 1 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Obituary 1 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0372d65c-1f9c-5881-b13f-9f884687e8f2,0,nyt://article/0372d65c-1f9c-5881-b13f-9f884687e8f2,
,https://www.nytimes.com/1905/12/01/archives/children-in-verse.html,,,818,The New York Times,[],"{'main': 'CHILDREN IN VERSE.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'CHILDREN IN VERSE.', 'name': None, 'seo': None, 'sub': None}",[],1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/05522e8e-8a51-50f5-b7c5-4fde59da68b6,0,nyt://article/05522e8e-8a51-50f5-b7c5-4fde59da68b6,HOLIDAY
"Moore, John Bassett: American Diplomacy: Its Spirit and Achievements",https://www.nytimes.com/1905/12/01/archives/diplomacy-prof-john-bassett-moores-book-about-its-achievements-in.html,"Moore, John Bassett: American Diplomacy: Its Spirit and Achievements",,827,The New York Times,[],"{'main': ""DIPLOMACY.; Prof. John Bassett Moore's Book About Its Achievements in American History. Written for THE NEW YORK TIMES SATURDAY REVIEW OF BOOKS by DIPLOMACY."", 'kicker': None, 'content_kicker': None, 'print_headline': ""DIPLOMACY.; Prof. John Bassett Moore's Book About Its Achievements in American History. Written for THE NEW YORK TIMES SATURDAY REVIEW OF BOOKS by DIPLOMACY."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 1, 'major': 'N'}]",1905-12-01T05:00:00+0000,article,None,Archives,"{'original': 'PROF. WILLIAM E. DODD', 'person': [{'firstname': 'Prof', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0598ea49-6480-57ef-8c02-680b4439d346,0,nyt://article/0598ea49-6480-57ef-8c02-680b4439d346,HBN
Trial,https://www.nytimes.com/1905/12/01/archives/court-hears-arguments-in-meriwether-trial-judges-take-midshipmans.html,Trial,,5,The New York Times,[],"{'main': ""COURT HEARS ARGUMENTS IN MERIWETHER TRIAL; Judges Take Midshipman's case under consideration. COUNSEL BLAMES SYSTEM Defense says Meriwether Had to Fight Under the Custom or Leave the Academy."", 'kicker': None, 'content_kicker': None, 'print_headline': ""COURT HEARS ARGUMENTS IN MERIWETHER TRIAL; Judges Take Midshipman's case under consideration. COUNSEL BLAMES SYSTEM Defense says Meriwether Had to Fight Under the Custom or Leave the Academy."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'United States Naval Academy', 'rank': 1, 'major': 'N'}]",1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bc27a5c-b2ff-5110-995c-173ed59b00e6,0,nyt://article/0bc27a5c-b2ff-5110-995c-173ed59b00e6,
,https://www.nytimes.com/1905/12/01/archives/front-page-2-no-title.html,,,1,The New York Times,[],"{'main': 'Front Page 2 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Front Page 2 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/114f3f96-e6b6-564e-9e4f-2c511e2e9253,0,nyt://article/114f3f96-e6b6-564e-9e4f-2c511e2e9253,
"History of Ancient Pottery-Greek, Etruscan, and Roman: by H B Walters, based on the work of Samuel Birch",https://www.nytimes.com/1905/12/01/archives/ancient-pottery-monumental-work-by-hb-walters-based-on-the.html,"History of Ancient Pottery-Greek, Etruscan, and Roman: by H B Walters, based on the work of Samuel Birch",,834,The New York Times,[],"{'main': 'ANCIENT POTTERY.; Monumental Work by H.B. Walters Based on the Researchers of Samuel Birch.*', 'kicker': None, 'content_kicker': None, 'print_headline': 'ANCIENT POTTERY.; Monumental Work by H.B. Walters Based on the Researchers of Samuel Birch.*', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 1, 'major': 'N'}]",1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/12eff002-b1be-574c-96a6-18c7994421de,0,nyt://article/12eff002-b1be-574c-96a6-18c7994421de,HBN
,https://www.nytimes.com/1905/12/01/archives/two-of-a-kind.html,,,8,The New York Times,[],"{'main': 'Two of a Kind.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Two of a Kind.', 'name': None, 'seo': None, 'sub': None}",[],1905-12-01T05:00:00+0000,article,None,Archives,"{'original': 'From The Louisville Courier-Journal', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/133f4ed4-21ea-53b9-b745-9a0c0d32a71a,0,nyt://article/133f4ed4-21ea-53b9-b745-9a0c0d32a71a,
,https://www.nytimes.com/1905/12/01/archives/the-arncliffe-puzzle.html,,,834,The New York Times,[],"{'main': '""The Arncliffe Puzzle.""', 'kicker': '1', 'content_kicker': None, 'print_headline': '""The Arncliffe Puzzle.""', 'name': None, 'seo': None, 'sub': None}",[],1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/13e513d7-b7e7-51d5-943d-bb6980c1ebeb,0,nyt://article/13e513d7-b7e7-51d5-943d-bb6980c1ebeb,HOLIDAY
"Mutiny checked as leaders are captured, Sevastopol; other repts differ",https://www.nytimes.com/1905/12/01/archives/mutiny-checked-leaders-taken-official-dispatch-on-revolt-at.html,"Mutiny checked as leaders are captured, Sevastopol; other repts differ",,1,The New York Times,[],"{'main': 'MUTINY CHECKED, LEADERS TAKEN; Official Dispatch on Revolt at Sevastopol. OTHER REPORTS DIFFER Half City in Ruins, Thousands Dead; Says One. TWO BATTLESHIPS LOST? Torpedo Boats Also Sunk, According to Press Telegrams -- Short Shrift for the Mutineers.', 'kicker': None, 'content_kicker': None, 'print_headline': 'MUTINY CHECKED, LEADERS TAKEN; Official Dispatch on Revolt at Sevastopol. OTHER REPORTS DIFFER Half City in Ruins, Thousands Dead; Says One. TWO BATTLESHIPS LOST? Torpedo Boats Also Sunk, According to Press Telegrams -- Short Shrift for the Mutineers.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Russia', 'rank': 1, 'major': 'N'}]",1905-12-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1488f9d3-b192-57fb-a1f4-7701f64de02a,0,nyt://article/1488f9d3-b192-57fb-a1f4-7701f64de02a,
