abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"Having once worked as a newspaper reporter, I am worried about a squad of judges, cops and lawyers bursting in some night while I am slumbering through &#8220;Poldark&#8221; and demanding to see my notes.",https://www.nytimes.com/1978/08/01/archives/no-notes-is-good-notes-observer.html,,"Having once worked as a newspaper reporter, I am worried about a squad of judges, cops and lawyers bursting in some night while I am slumbering through “Poldark” and demanding to see my notes.",A,15,The New York Times,[],"{'main': 'No Notes Is Good Notes', 'kicker': None, 'content_kicker': None, 'print_headline': 'No Notes Is Good Notes', 'name': None, 'seo': None, 'sub': None}",[],1978-08-01T05:00:00+0000,article,None,Archives,"{'original': 'By Russell Baker', 'person': [{'firstname': 'Russell', 'middlename': None, 'lastname': 'Baker', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/04462c71-7e44-52db-a2f5-7d0a2e40a5d8,880,nyt://article/04462c71-7e44-52db-a2f5-7d0a2e40a5d8
Marlon Brando is negotiating with ABC-TV for series on Indian affairs (S),https://www.nytimes.com/1978/08/01/archives/notes-on-people.html,Marlon Brando is negotiating with ABC-TV for series on Indian affairs (S),"“PERHAPS IF IT is your first try, you don't deserve it,” said a ruefully philosophic Maj. Christopher Davey, one of two Britons who failed — by 140 miles to make the first balloon crossing of the Atlantic. He and Donald Cameron returned to England yesterday, fighting back tears and finally admitting that they were “quite disgust. ed” and “absolutely miserable” over having to ditch their yellow, helium and hot air balloon in the Atlantic Sunday. French fishermen picked them up and took them to the port of Concarneau in Brittany. Yesterday they took a private plane to Bracknell, England. Their $300,000 adventure, which came closer to success than any of the 18 known previous attempts, began in Newfoundland last Wednesday.",C,4,The New York Times,[],"{'main': 'Notes on People', 'kicker': None, 'content_kicker': None, 'print_headline': 'Notes on People', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Washington (State)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Bees', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Chess', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Indians, American', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'TELEVISION AND RADIO', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'PROGRAMS', 'rank': 7, 'major': 'N'}]",1978-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/06b07910-037b-56b6-8838-080be1bbee41,710,nyt://article/06b07910-037b-56b6-8838-080be1bbee41
"Japanese Natl Police Agency repts number of crimes in Japan increased 6.3% during first 6 mos of '78, totaling 631,929; breakdown of figures (S)",https://www.nytimes.com/1978/08/01/archives/crime-toll-grows-63-in-japan.html,"Japanese Natl Police Agency repts number of crimes in Japan increased 6.3% during first 6 mos of '78, totaling 631,929; breakdown of figures (S)","TOKYO, July 31 (AP) — The number of crimes in Japan increased 6.3 percent during the first six months of 1978, totaling 631,929, the National Police Agency reported. The number of assaults decreased 4.2 percent, to 4,717 cases, but the number of people injured in robberies rose 4.1 percent and attacks on women increased 21.7 percent.",A,5,The New York Times,[],"{'main': 'Crime Toll Grows 6.3% in Japan', 'kicker': None, 'content_kicker': None, 'print_headline': 'Crime Toll Grows 6.3% in Japan', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Japan', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 2, 'major': 'N'}]",1978-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/07b2154c-3f47-5032-b0f6-ff6e1fbd4724,61,nyt://article/07b2154c-3f47-5032-b0f6-ff6e1fbd4724
"Washington Journal article on fund-raising event for Peter F Flaherty, Dem candidate for Penna Gov, in Washington, DC (M)",https://www.nytimes.com/1978/08/01/archives/washington-journal-busy-times-in-the-fundraising-trade.html,"Washington Journal article on fund-raising event for Peter F Flaherty, Dem candidate for Penna Gov, in Washington, DC (M)","WASHINGTON IN THE PARLANCE of his profession, Peter J. Flaherty was “working the room,” a well‐appointed, dimly lighted salon at a local hotel. Smiling broadly for more than two hours, the former Mayor of Pittsburgh and former Deputy Attorney General of the United States moved with no apparent haste from one group of people to another, stepping casually into the flow of their small talk to offer his big hand, call them all by their first names,’ drape an arm around waiting male shoulders, drop kisses on expectant female cheeks, laugh heartily at this or that and, then, his face properly serious, assess optimistically his gubernatorial campaign in Pennsylvania before shaking hands all around again and heading to the next little clutch.",C,1,The New York Times,[],"{'main': 'Washington Journal', 'kicker': None, 'content_kicker': None, 'print_headline': 'Washington Journal', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Pennsylvania', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'ELECTIONS (US)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Finances', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 4, 'major': 'N'}]",1978-08-01T05:00:00+0000,article,None,Archives,"{'original': 'James Wooten', 'person': [{'firstname': 'James', 'middlename': None, 'lastname': 'Wooten', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0845e4bd-f6d8-5e69-bda8-5b6c6ece6dfe,1058,nyt://article/0845e4bd-f6d8-5e69-bda8-5b6c6ece6dfe
"BACK in 1974, the Aircraft Lockheed Corporation was in a tailspin. The company's main new product, the L&#8208;1011, a wide&#8208;body commercial aircraft, was doing poorly, making almost no headway against the McDonnell Douglas DC&#8208;10, which had captured most of the market for aircraft in the 270&#8208;passenger class.",https://www.nytimes.com/1978/08/01/archives/market-place-lockheed-back-from-adversity.html,,"BACK in 1974, the Aircraft Lockheed Corporation was in a tailspin. The company's main new product, the L‐1011, a wide‐body commercial aircraft, was doing poorly, making almost no headway against the McDonnell Douglas DC‐10, which had captured most of the market for aircraft in the 270‐passenger class.",D,8,The New York Times,[],"{'main': 'Market Place', 'kicker': None, 'content_kicker': None, 'print_headline': 'Market Place', 'name': None, 'seo': None, 'sub': None}",[],1978-08-01T05:00:00+0000,article,None,Archives,"{'original': 'Robert Metz', 'person': [{'firstname': 'Robert', 'middlename': None, 'lastname': 'Metz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/08cef559-7af7-5224-a65c-faf10a9904c8,687,nyt://article/08cef559-7af7-5224-a65c-faf10a9904c8
"SOUTH YARMOUTH, Mass., July 31 (AP) &#8212; The New York Apples scored 25&#8208;24 triumph over the Boston Lobsters in a World Team Tennis match tonight at the Cape Cod Coliseum.",https://www.nytimes.com/1978/08/01/archives/apples-defeat-lobsters-in-wtt-match-2524.html,,"SOUTH YARMOUTH, Mass., July 31 (AP) — The New York Apples scored 25‐24 triumph over the Boston Lobsters in a World Team Tennis match tonight at the Cape Cod Coliseum.",C,12,The New York Times,[],"{'main': 'Apples Defeat Lobsters In W.T.T. Match, 25‐24', 'kicker': None, 'content_kicker': None, 'print_headline': 'Apples Defeat Lobsters In W.T.T. Match, 25‐24', 'name': None, 'seo': None, 'sub': None}",[],1978-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0931c1d2-b318-53c9-844a-35637ac2868e,148,nyt://article/0931c1d2-b318-53c9-844a-35637ac2868e
Rain&#8208;bearing clouds are drifting slowly across the mid and north&#8226;Atlantic States and pass out to sea later today and tonight. The remains of tropical storm &#8220; Amelia &#8220; can seen over south Texas. There is still a weak cyclonic circulation as depicted by the swirl of the clouds. Some moisture is moving northward from Baja. A new cold front is forming clouds across southern Canada.,https://www.nytimes.com/1978/08/01/archives/satellite-photograph.html,,Rain‐bearing clouds are drifting slowly across the mid and north•Atlantic States and pass out to sea later today and tonight. The remains of tropical storm “ Amelia “ can seen over south Texas. There is still a weak cyclonic circulation as depicted by the swirl of the clouds. Some moisture is moving northward from Baja. A new cold front is forming clouds across southern Canada.,C,14,The New York Times,[],"{'main': 'Satellite Photograph', 'kicker': None, 'content_kicker': None, 'print_headline': 'Satellite Photograph', 'name': None, 'seo': None, 'sub': None}",[],1978-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0b67b97d-f84a-5b8e-ba87-f8a0c30ae039,65,nyt://article/0b67b97d-f84a-5b8e-ba87-f8a0c30ae039
"Sen Moynihan regards notion, raised in New Republic (pub), that he might run for Pres in '80 as a chimera conjured up by Dem left; specter does not visibly frighten him; says he does not foresee himself or another ‘centrist’ entering '80 Dem primaries against Pres Carter; adds challenge will come from farther pol left, apparent reference to Calif Gov Brown; Moynihan illus (M)",https://www.nytimes.com/1978/08/01/archives/moynihan-in-1980-a-chimera-he-retorts-a-reply-to-article.html,"Sen Moynihan regards notion, raised in New Republic (pub), that he might run for Pres in '80 as a chimera conjured up by Dem left; specter does not visibly frighten him; says he does not foresee himself or another ‘centrist’ entering '80 Dem prima...","WASHINGTON, July 27 — Senator Daniel Patrick Moynihan regards the notion, raised in a national magazine, that he might run for President in 1980 as chimera conjured up by the Democratic left. The specter does not visibly frighten him.",A,10,The New York Times,[],"{'main': 'Moynihan in 1980? A Chimera, He Retorts', 'kicker': None, 'content_kicker': None, 'print_headline': 'Moynihan in 1980? A Chimera, He Retorts', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Presidential Election of 1968', 'rank': 1, 'major': 'N'}]",1978-08-01T05:00:00+0000,article,None,Archives,"{'original': 'By Warren Weaver Jr. Special to The New York Times', 'person': [{'firstname': 'Warren', 'middlename': None, 'lastname': 'Weaver', 'qualifier': 'Jr.', 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0d509ca1-778a-5c05-9d15-2cfbe4ef34e4,909,nyt://article/0d509ca1-778a-5c05-9d15-2cfbe4ef34e4
Transportation and Commerce Depts say GAO rept on hazards of LNG transport exaggerated hazards and failed to prove conclusions (S),https://www.nytimes.com/1978/08/01/archives/congress-is-urged-to-put-new-curbs-on-liquefied-gas-finds-little.html,Transportation and Commerce Depts say GAO rept on hazards of LNG transport exaggerated hazards and failed to prove conclusions (S),"WASHINGTON, July 31 (UPI) —Government report to Congress, warning that liquefied energy gas posed serious dangers, called today for immediate new safety restrictions, including a ban on the transportation and bulk storage of explosive gas in highly populated areas.",A,11,The New York Times,[],"{'main': 'Congress Is Urged to Put New Curbs on Liquefied Gas', 'kicker': None, 'content_kicker': None, 'print_headline': 'Congress Is Urged to Put New Curbs on Liquefied Gas', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'United States', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Railroads', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'GAS (ILLUMINATING AND FUEL)', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'GAS (ILLUMINATING AND FUEL)', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'TRUCKS AND TRUCKING INDUSTRY', 'rank': 14, 'major': 'N'}]",1978-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0e8fdfbe-a9eb-5de9-9067-634565ec8095,564,nyt://article/0e8fdfbe-a9eb-5de9-9067-634565ec8095
For periods as (.310v41. (N) indicates stack is listed on the New York Stock Exchatiele.(A) the American Stock Exchange and (0) ewer-theca:tinter.,https://www.nytimes.com/1978/08/01/archives/corporations-report-earnings-and-sales-statistics.html,,For periods as (.310v41. (N) indicates stack is listed on the New York Stock Exchatiele.(A) the American Stock Exchange and (0) ewer-theca:tinter.,D,6,The New York Times,[],"{'main': 'Corporations Report Earnings and Sales Statistics', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corporations Report Earnings and Sales Statistics', 'name': None, 'seo': None, 'sub': None}",[],1978-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0f4dc3f1-3710-5fb7-a883-41ffeaf30a59,22,nyt://article/0f4dc3f1-3710-5fb7-a883-41ffeaf30a59
