abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
"Keyser, Md.; False Report of Capture of a Baltimore and Ohio Train",https://www.nytimes.com/1877/08/01/archives/the-baltimore-and-ohio-road-false-report-of-the-capture-of-a.html,"Keyser, Md.; False Report of Capture of a Baltimore and Ohio Train",,,2,The New York Times,[],"{'main': 'THE BALTIMORE AND OHIO ROAD.; FALSE REPORT OF THE CAPTURE OF A MILITARY TRAIN BY STRIKERS--AFFAIRS ALONG THE LINE--OLD HANDS GOING TO WORK--COWARDLY ATTEMPT TO WRECK A TRAIN WITH SOLDIERS.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE BALTIMORE AND OHIO ROAD.; FALSE REPORT OF THE CAPTURE OF A MILITARY TRAIN BY STRIKERS--AFFAIRS ALONG THE LINE--OLD HANDS GOING TO WORK--COWARDLY ATTEMPT TO WRECK A TRAIN WITH SOLDIERS.', 'name': None, 'seo': None, 'sub': None}",[],1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/00c3d76d-63c4-5bc5-be19-c481e6c75828,0,nyt://article/00c3d76d-63c4-5bc5-be19-c481e6c75828,
"Warren, Samuel (Author)",https://www.nytimes.com/1877/08/01/archives/obituary-samuel-warren-dcl.html,"Warren, Samuel (Author)",,,4,The New York Times,[],"{'main': 'OBITUARY.; SAMUEL WARREN, D.C.L.', 'kicker': None, 'content_kicker': None, 'print_headline': 'OBITUARY.; SAMUEL WARREN, D.C.L.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'DEATHS', 'rank': 1, 'major': 'N'}]",1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0121a995-b314-5423-92cf-667289ceaf3f,0,nyt://article/0121a995-b314-5423-92cf-667289ceaf3f,
Arkans s; Repudiation by,https://www.nytimes.com/1877/08/01/archives/swindling-states.html,Arkans s; Repudiation by,,,4,The New York Times,[],"{'main': 'SWINDLING STATES.', 'kicker': None, 'content_kicker': None, 'print_headline': 'SWINDLING STATES.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'ARKANSAS', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Minnesota', 'rank': 2, 'major': 'N'}]",1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/037b60f3-a85d-5969-b04d-81b62570b41b,0,nyt://article/037b60f3-a85d-5969-b04d-81b62570b41b,
,https://www.nytimes.com/1877/08/01/archives/the-board-of-aldermen.html,,,,8,The New York Times,[],"{'main': 'THE BOARD OF ALDERMEN.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE BOARD OF ALDERMEN.', 'name': None, 'seo': None, 'sub': None}",[],1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/051885cb-757f-56f8-bb5a-3c03c25f1852,0,nyt://article/051885cb-757f-56f8-bb5a-3c03c25f1852,
Sheep Raising in by a Californian Under Government Encouragement,https://www.nytimes.com/1877/08/01/archives/sheep-raising-in-japan-the-venture-of-a-californianraising-sheep.html,Sheep Raising in by a Californian Under Government Encouragement,,,8,The New York Times,[],"{'main': 'SHEEP RAISING IN JAPAN.; THE VENTURE OF A CALIFORNIAN--RAISING SHEEP NEAR TOKIO ON AMERICANGRASSES. A COLORADO SILVER STORY.', 'kicker': None, 'content_kicker': None, 'print_headline': 'SHEEP RAISING IN JAPAN.; THE VENTURE OF A CALIFORNIAN--RAISING SHEEP NEAR TOKIO ON AMERICANGRASSES. A COLORADO SILVER STORY.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Japan', 'rank': 1, 'major': 'N'}]",1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/078cc079-4823-580c-9c3d-f0ac02b65c64,0,nyt://article/078cc079-4823-580c-9c3d-f0ac02b65c64,
,https://www.nytimes.com/1877/08/01/archives/canadian-worriment.html,,,,2,The New York Times,[],"{'main': 'CANADIAN WORRIMENT.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'CANADIAN WORRIMENT.', 'name': None, 'seo': None, 'sub': None}",[],1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/07a4c586-90b7-54b7-84a2-f5ce124271bc,0,nyt://article/07a4c586-90b7-54b7-84a2-f5ce124271bc,
New-York Special Sessions; Lack of a Quorum,https://www.nytimes.com/1877/08/01/archives/the-court-of-special-sessions-business-retarded-in-consequence-of-a.html,New-York Special Sessions; Lack of a Quorum,,,3,The New York Times,[],"{'main': ""THE COURT OF SPECIAL SESSIONS.; BUSINESS RETARDED IN CONSEQUENCE OF A DIFFICULTY IN OBTAINING A QUORUM-- JUSTICE DUFFY'S NEGLECT CAUSES MUCH INCONVENIENCE."", 'kicker': None, 'content_kicker': None, 'print_headline': ""THE COURT OF SPECIAL SESSIONS.; BUSINESS RETARDED IN CONSEQUENCE OF A DIFFICULTY IN OBTAINING A QUORUM-- JUSTICE DUFFY'S NEGLECT CAUSES MUCH INCONVENIENCE."", 'name': None, 'seo': None, 'sub': None}",[],1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c6a0667-9222-51af-9dd6-3e34d2c4fd80,0,nyt://article/0c6a0667-9222-51af-9dd6-3e34d2c4fd80,
Mediterranean Garrisons Reinforcement; Statement of Expense,https://www.nytimes.com/1877/08/01/archives/the-interests-of-other-nations-the-english-reinforcements-in-the.html,Mediterranean Garrisons Reinforcement; Statement of Expense,,,1,The New York Times,[],"{'main': 'THE INTERESTS OF OTHER NATIONS.; THE ENGLISH REINFORCEMENTS IN THE MEDITERRANEAN--THE RIGHT TO MAINTAINTWO BRITISH GUN-BOATS ON THE DANUBETO BE ASSERTED--THE GREEKS AND THETURKISH CRUELTIES TO THEIR PEOPLE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE INTERESTS OF OTHER NATIONS.; THE ENGLISH REINFORCEMENTS IN THE MEDITERRANEAN--THE RIGHT TO MAINTAINTWO BRITISH GUN-BOATS ON THE DANUBETO BE ASSERTED--THE GREEKS AND THETURKISH CRUELTIES TO THEIR PEOPLE.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'England', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'PARLIAMENT', 'rank': 2, 'major': 'N'}]",1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0da5b6f2-0136-57b1-a608-75b0a7583592,0,nyt://article/0da5b6f2-0136-57b1-a608-75b0a7583592,
Assessment by the County Disputed,https://www.nytimes.com/1877/08/01/archives/the-assessment-of-yonkers.html,Assessment by the County Disputed,,,8,The New York Times,[],"{'main': 'THE ASSESSMENT OF YONKERS.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE ASSESSMENT OF YONKERS.', 'name': None, 'seo': None, 'sub': None}",[],1877-08-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0e84612f-a4d7-5ea1-bd0c-61758c816521,0,nyt://article/0e84612f-a4d7-5ea1-bd0c-61758c816521,
,https://www.nytimes.com/1877/08/01/archives/the-lash-for-criminals.html,,,,5,The New York Times,[],"{'main': 'THE LASH FOR CRIMINALS.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE LASH FOR CRIMINALS.', 'name': None, 'seo': None, 'sub': None}",[],1877-08-01 05:00:00+00:00,article,,Archives,"{'original': 'THEODORE W. DWIGHT', 'person': [{'firstname': 'Theodore', 'middlename': 'W.', 'lastname': 'DWIGHT', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/10ab2a40-fd2e-53bf-b23e-b7a7aaa2b392,0,nyt://article/10ab2a40-fd2e-53bf-b23e-b7a7aaa2b392,
