abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
,https://www.nytimes.com/1866/08/01/archives/bowdoin-college.html,,,4,The New York Times,[],"{'main': 'Bowdoin College.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Bowdoin College.', 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/04f875c9-2fdf-5f01-a9ef-b91d5f88adca,0,nyt://article/04f875c9-2fdf-5f01-a9ef-b91d5f88adca
A Chance for,https://www.nytimes.com/1866/08/01/archives/a-chance-for-hungary.html,A Chance for,,4,The New York Times,[],"{'main': 'A Chance for Hungary.', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Chance for Hungary.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Hungary', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Editorials', 'rank': 2, 'major': 'N'}]",1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/18dc456e-5baf-55df-845f-3bd39f6ce865,0,nyt://article/18dc456e-5baf-55df-845f-3bd39f6ce865
"A FREAK FROM A THUNDER CLOUD.--On Saturday afternoon the sky was obscured, and over New Jersey hung a mass of clouds, dark, dense, and grandly massive. from their very centre, about 4 P. M., a bolt of lightning like a white-hot arrow pre ceded a peal of thunder that sounded like the simultaneous discharge of the eight hundred Prussian gunsthat gave the late victory over Austria to the Prussians.  ",https://www.nytimes.com/1866/08/01/archives/article-1-no-title.html,,,2,The New York Times,[],"{'main': 'Article 1 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 1 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/216dae2f-e1e6-53c4-9eb1-f9b41a94786b,0,nyt://article/216dae2f-e1e6-53c4-9eb1-f9b41a94786b
"Horbach, &c., vs. Porter; Title by preemption",https://www.nytimes.com/1866/08/01/archives/law-reports-united-states-supreme-court-title-by-preemption-and-by.html,"Horbach, &c., vs. Porter; Title by preemption",,3,The New York Times,[],"{'main': ""LAW REPORTS.; UNITED STATES SUPREME COURT. Title by Pre-emption, and by Purchase at Auction Sale of Public Lands Constructive Notice of Title--The Possession and Cultivation of Lands are Sufficient to put the Purchaser on Inquiry, and Will be Held to be Full Notice. The Great Raid on the Counterfeiters. Two More Fat Boiling Establishments in Court--Are they Nuisances or Not? --The Powers and Duties of the Board of Health An Injunction Against Aldermen, Common Councilmen and street Commissioner, in the matter of the Twenty Year's Contract for lighting Streets-Counciliman Pullman Commences a Suit Against the Two Board and the street Commissioners. Court of Special Sessions."", 'kicker': None, 'content_kicker': None, 'print_headline': ""LAW REPORTS.; UNITED STATES SUPREME COURT. Title by Pre-emption, and by Purchase at Auction Sale of Public Lands Constructive Notice of Title--The Possession and Cultivation of Lands are Sufficient to put the Purchaser on Inquiry, and Will be Held to be Full Notice. The Great Raid on the Counterfeiters. Two More Fat Boiling Establishments in Court--Are they Nuisances or Not? --The Powers and Duties of the Board of Health An Injunction Against Aldermen, Common Councilmen and street Commissioner, in the matter of the Twenty Year's Contract for lighting Streets-Counciliman Pullman Commences a Suit Against the Two Board and the street Commissioners. Court of Special Sessions."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 2, 'major': 'N'}]",1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/291940db-1271-5f0e-941c-91301d7e13e8,0,nyt://article/291940db-1271-5f0e-941c-91301d7e13e8
"Col. RIPLEY, formerly of the Fourteenth New Hampshire regiment, who has since the war, been engaged in the lumber business in Emanuel County, Ga., was brutally murdered on the 23d inst. After Col. RIPLEY and his family had retired to bed, a party of men came to the house, and knocking at the gate,asked to see him on business.  ",https://www.nytimes.com/1866/08/01/archives/news-of-the-day-general-news-local-news.html,,,4,The New York Times,[],"{'main': 'NEWS OF THE DAY.; GENERAL NEWS. LOCAL NEWS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'NEWS OF THE DAY.; GENERAL NEWS. LOCAL NEWS.', 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/303ca814-26bc-53d6-88c1-f5c6ca06cc73,0,nyt://article/303ca814-26bc-53d6-88c1-f5c6ca06cc73
"The Pittsburgh (Penn.) Republic of July 30 announces the death of Hon. THOMAS WHITE, of Indiana County, Penn. He was for a number of years President Judge of the Judicial District of which Indiana County forms a part, and was well knownthroughout the State.  ",https://www.nytimes.com/1866/08/01/archives/obituary.html,,,6,The New York Times,[],"{'main': 'Obituary.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Obituary.', 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/30cd9c8a-08ba-57dd-9965-6af3e7ae5d57,0,nyt://article/30cd9c8a-08ba-57dd-9965-6af3e7ae5d57
"The General Court-Martial trying the Freedmen's Bureau officers in North Carolina to-day concluded the trial ot Gen. E. WHITTLESEY. The argument for the defence was delivered by his counsel, CHARLES WHITTLESEY, of Alexendria, Va. The case of Chaplain GEORGE O. GLAVIS will be resumed and probably concluded to-morrow.  ",https://www.nytimes.com/1866/08/01/archives/north-carolina-trial-of-the-officers-of-the-freedmens-bureau.html,,,5,The New York Times,[],"{'main': ""NORTH CAROLINA.; Trial of the Officers of the Freedmen's Bureau,"", 'kicker': '1', 'content_kicker': None, 'print_headline': ""NORTH CAROLINA.; Trial of the Officers of the Freedmen's Bureau,"", 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/36ac6d6d-4af4-5c25-8088-8a6932ec64e2,0,nyt://article/36ac6d6d-4af4-5c25-8088-8a6932ec64e2
"THE NEW TARIFF. The new rates of duties on cigars, wool, spirit compounds, , apply only to such as may be imported on and alter the 10th of August. Goods in bond are not affected by the new law. The 9th section, which requires the addition of actual charges and expenses of transportation to the value of the goods, will be onforced only in regard to importations made on andalter the above-named date.  ",https://www.nytimes.com/1866/08/01/archives/from-washington.html,,,5,The New York Times,[],"{'main': 'FROM WASHINGTON.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'FROM WASHINGTON.', 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': 'Special Dispatches to the New-York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/3732745c-0168-5cf9-b11f-8450f08a3ec0,0,nyt://article/3732745c-0168-5cf9-b11f-8450f08a3ec0
"THE LINCOLN HOME IN PHILADELPHIA.--Lieut. Gen. U. S. GRANT wrote the following letter of encouragement to Mayor MCMICHAEL, upon learning of this projects ""It is with great pleasure I notice that the ladies of Philadelphia are about to repay, in some measure, the debt we owe to the brave then who lost their lives in defence of our property and homes, by establishing a home for the special care of their orphan children.  ",https://www.nytimes.com/1866/08/01/archives/article-2-no-title.html,,,2,The New York Times,[],"{'main': 'Article 2 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 2 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/3974def3-c310-526f-a744-4a3ffdd727b4,0,nyt://article/3974def3-c310-526f-a744-4a3ffdd727b4
"Panama dates of the 23d state that the propects of the present railroad company getting a renewal of their charter are very slim, and strong efforts are making to put the road in the hands of a new company, the present one giving great dissatisfaction in their management. The Central American States are all quiet.  ",https://www.nytimes.com/1866/08/01/archives/panama-prospects-of-the-railroad-companythe-presidential-election.html,,,8,The New York Times,[],"{'main': 'PANAMA.; Prospects of the Railroad Company--The Presidential Election in Chili--Affairs in Peru--Attempt to Assassinate the Ex-President of Ecuador--News from New-Zealand.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'PANAMA.; Prospects of the Railroad Company--The Presidential Election in Chili--Affairs in Peru--Attempt to Assassinate the Ex-President of Ecuador--News from New-Zealand.', 'name': None, 'seo': None, 'sub': None}",[],1866-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/41dd08ab-7595-5a36-b741-6cd932e32fa4,0,nyt://article/41dd08ab-7595-5a36-b741-6cd932e32fa4
