abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,print_section
,https://www.nytimes.com/1900/02/01/archives/front-page-3-no-title.html,,,1,The New York Times,[],"{'main': 'Front Page 3 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Front Page 3 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/00fa2a0d-8748-57d2-b737-115acd15bbc3,0,nyt://article/00fa2a0d-8748-57d2-b737-115acd15bbc3,
,https://www.nytimes.com/1900/02/01/archives/front-page-2-no-title.html,,,1,The New York Times,[],"{'main': 'Front Page 2 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Front Page 2 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/02044f5d-20cd-58ff-bd24-b025085de3a8,0,nyt://article/02044f5d-20cd-58ff-bd24-b025085de3a8,
"FRANKFORT, Jan. 31 -- The condition of Mr. Goebel just before midnight to-night was better than at any time during the day. He was resting comfortably, no unfavorable symptoms had appeared, and it was announced that he would unquestionably get through the night.  ",https://www.nytimes.com/1900/02/01/archives/goebel-grows-stronger-wounded-man-at-midnight-was-better-than-at.html,,,1,The New York Times,[],"{'main': 'GOEBEL GROWS STRONGER; Wounded Man at Midnight Was Better Than at Any Time During the Day.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'GOEBEL GROWS STRONGER; Wounded Man at Midnight Was Better Than at Any Time During the Day.', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York TImes', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/02e2f881-1492-5da6-b76e-45e64262ba06,0,nyt://article/02e2f881-1492-5da6-b76e-45e64262ba06,
,https://www.nytimes.com/1900/02/01/archives/philadelphia-prices.html,,,11,The New York Times,[],"{'main': 'PHILADELPHIA PRICES.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'PHILADELPHIA PRICES.', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/03108f58-a9b7-562e-94c9-333672d3c537,0,nyt://article/03108f58-a9b7-562e-94c9-333672d3c537,
"FRANKFORT, Ky., Jan. 31 -- The following proclamation was issued to-night by Mr. Goebel:  ",https://www.nytimes.com/1900/02/01/archives/goebels-proclamation-issues-an-order-as-governor-to-the-militia-to.html,,,2,The New York Times,[],"{'main': ""GOEBEL'S PROCLAMATION; Issues an Order, as Governor, to the Militia to Return to Their Homes."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""GOEBEL'S PROCLAMATION; Issues an Order, as Governor, to the Militia to Return to Their Homes."", 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': 'WILLIAM GOEBEL.""', 'person': [{'firstname': 'William', 'middlename': None, 'lastname': 'GOEBEL', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/03341b54-abaf-5871-a873-4f34f69ec8e8,0,nyt://article/03341b54-abaf-5871-a873-4f34f69ec8e8,
,https://www.nytimes.com/1900/02/01/archives/japanese-review-american-soldiers.html,,,4,The New York Times,[],"{'main': 'Japanese Review American Soldiers.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Japanese Review American Soldiers.', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/04157fc4-dcaf-5996-b23d-e4672161ab74,0,nyt://article/04157fc4-dcaf-5996-b23d-e4672161ab74,
,https://www.nytimes.com/1900/02/01/archives/japan-building-fine-ships-a-large-steamer-equal-to-atlantic-liners.html,,,3,The New York Times,[],"{'main': 'JAPAN BUILDING FINE SHIPS.; A Large Steamer, Equal to Atlantic Liners, Completed.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'JAPAN BUILDING FINE SHIPS.; A Large Steamer, Equal to Atlantic Liners, Completed.', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08075085-8085-5ca0-a832-c0b0416d26a9,0,nyt://article/08075085-8085-5ca0-a832-c0b0416d26a9,
Argument About the Insatiable Desire of the United States for More Territory,https://www.nytimes.com/1900/02/01/archives/a-waste-of-time.html,Argument About the Insatiable Desire of the United States for More Territory,,6,The New York Times,[],"{'main': 'A. WASTE OF TIME.', 'kicker': None, 'content_kicker': None, 'print_headline': 'A. WASTE OF TIME.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Philippines', 'rank': 1, 'major': 'N'}]",1900-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0a13ee7a-1906-5e1f-a2ff-534ccbf12255,0,nyt://article/0a13ee7a-1906-5e1f-a2ff-534ccbf12255,
,https://www.nytimes.com/1900/02/01/archives/white-says-he-can-hold-out.html,,,1,The New York Times,[],"{'main': 'WHITE SAYS HE CAN HOLD OUT.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'WHITE SAYS HE CAN HOLD OUT.', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bb6631e-3a28-52f1-88f3-fac4b466a6e1,0,nyt://article/0bb6631e-3a28-52f1-88f3-fac4b466a6e1,
,https://www.nytimes.com/1900/02/01/archives/the-famine-in-british-india.html,,,6,The New York Times,[],"{'main': 'The Famine in British India.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Famine in British India.', 'name': None, 'seo': None, 'sub': None}",[],1900-02-01T05:00:00+0000,article,None,Archives,"{'original': 'A HOLLANDER', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0c1da346-831a-5c71-bc42-05c7183525b9,0,nyt://article/0c1da346-831a-5c71-bc42-05c7183525b9,
