abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"(Exchange.) It is not often that science makes a discovery that demands special investigation on the part of the newspapers. Once in a while it does, however, such as occurred in New-York recently.  ",https://www.nytimes.com/1894/09/01/archives/magic-work-of-science-a-newspaper-man-seen-a-strange-and.html,,,2,The New York Times,[],"{'main': 'MAGIC WORK OF SCIENCE; A Newspaper Man Seen a Strange and Inderesting Experiment -- Ment Completely Disgested in an Open Dish -- Views of Col. J.R. Fellows, and Other New-Yorkers.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'MAGIC WORK OF SCIENCE; A Newspaper Man Seen a Strange and Inderesting Experiment -- Ment Completely Disgested in an Open Dish -- Views of Col. J.R. Fellows, and Other New-Yorkers.', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0038f779-d287-5ad0-9182-6c5f8e3b4331,0,nyt://article/0038f779-d287-5ad0-9182-6c5f8e3b4331
,https://www.nytimes.com/1894/09/01/archives/bullio-statistics.html,,,10,The New York Times,[],"{'main': 'BULLIO STATISTICS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'BULLIO STATISTICS.', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/03b53462-5a4b-5b1b-960c-7539a809cab2,0,nyt://article/03b53462-5a4b-5b1b-960c-7539a809cab2
"Commenting upon trade conditions for the week, Bradstreet's will say to-day:  ",https://www.nytimes.com/1894/09/01/archives/state-of-trade.html,,,10,The New York Times,[],"{'main': 'STATE OF TRADE.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'STATE OF TRADE.', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0523a475-9e15-56ff-b786-9d71199def5a,0,nyt://article/0523a475-9e15-56ff-b786-9d71199def5a
Alcohol Rebate; Hoar Amendment Lost in Senate Through Republicans' Deal; Wood-Alcohol Industry Injured,https://www.nytimes.com/1894/09/01/archives/wood-alcohol-and-the-hoar-amendment.html,Alcohol Rebate; Hoar Amendment Lost in Senate Through Republicans' Deal; Wood-Alcohol Industry Injured,,4,The New York Times,[],"{'main': 'WOOD ALCOHOL AND THE HOAR AMENDMENT.', 'kicker': None, 'content_kicker': None, 'print_headline': 'WOOD ALCOHOL AND THE HOAR AMENDMENT.', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0fc38b8e-2172-5d15-9f09-d901224d2f6c,0,nyt://article/0fc38b8e-2172-5d15-9f09-d901224d2f6c
Bay Ridge Run Route,https://www.nytimes.com/1894/09/01/archives/priests-fine-pitching-st-louis-team-could-make-only-three-clean.html,Bay Ridge Run Route,,3,The New York Times,[],"{'main': ""PRIEST'S FINE PITCHING.; St. Louis Team Could Make Only Three Clean Hits Off His Delivery."", 'kicker': None, 'content_kicker': None, 'print_headline': ""PRIEST'S FINE PITCHING.; St. Louis Team Could Make Only Three Clean Hits Off His Delivery."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'BICYCLING', 'rank': 1, 'major': 'N'}]",1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1009c19a-8038-5cd1-ac5f-c590d38025a9,0,nyt://article/1009c19a-8038-5cd1-ac5f-c590d38025a9
"NEWPORT, R. I., Aug. 31. -- Duke d'Albe of Madrid arrived to-day, and is the guest of James J. Van Alen, who has registered him at the Casino and Casino Club. Other arrivals to-day are:  ",https://www.nytimes.com/1894/09/01/archives/duke-dalbe-at-newport-arrivals-at-the-hotels-and-cottages-sev-eral.html,,,4,The New York Times,[],"{'main': ""DUKE D'ALBE AT NEWPORT.; Arrivals at the Hotels and Cottages -- Sev- eral Dinners and Luncheons."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""DUKE D'ALBE AT NEWPORT.; Arrivals at the Hotels and Cottages -- Sev- eral Dinners and Luncheons."", 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/131bd76e-bbf0-5885-b4f3-6033a5ade39f,0,nyt://article/131bd76e-bbf0-5885-b4f3-6033a5ade39f
Forum,https://www.nytimes.com/1894/09/01/archives/literary-notes.html,Forum,,3,The New York Times,[],"{'main': 'LITERARY NOTES.', 'kicker': None, 'content_kicker': None, 'print_headline': 'LITERARY NOTES.', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1488d604-ed30-594a-a02a-a66b42d6e477,0,nyt://article/1488d604-ed30-594a-a02a-a66b42d6e477
Biennial Report,https://www.nytimes.com/1894/09/01/archives/the-jewish-theological-seminary-fourth-biennial-report-shows-it-to.html,Biennial Report,,9,The New York Times,[],"{'main': 'THE JEWISH THEOLOGICAL SEMINARY.; Fourth Biennial Report Shows It to be in a Flourishing Condition.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE JEWISH THEOLOGICAL SEMINARY.; Fourth Biennial Report Shows It to be in a Flourishing Condition.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Jewish Theological Seminary', 'rank': 1, 'major': 'N'}]",1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/19b58b28-7246-569c-a9b7-63268363dcc2,0,nyt://article/19b58b28-7246-569c-a9b7-63268363dcc2
"WILMINGTON, Del., Aug. 31. -- Albert Stout, freight agent for the Charles Warner Company of this city, was arrested this morning on a warrant charging him with the murder of Katie Dugan, aged eighteen years, on the night of Oct. 19, 1892. Katie Dugan was employed as a domestic in his family.  ",https://www.nytimes.com/1894/09/01/archives/agent-stout-arrested-for-murder.html,,,9,The New York Times,[],"{'main': 'Agent Stout Arrested for Murder.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Agent Stout Arrested for Murder.', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1a1bdade-a3c2-54c6-b542-9a46c2163d59,0,nyt://article/1a1bdade-a3c2-54c6-b542-9a46c2163d59
,https://www.nytimes.com/1894/09/01/archives/article-4-no-title.html,,,9,The New York Times,[],"{'main': 'Article 4 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 4 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1b1366d6-832e-51df-af8e-e7dee82639bf,0,nyt://article/1b1366d6-832e-51df-af8e-e7dee82639bf
Rooms Assigned in Seventh District Court House,https://www.nytimes.com/1894/09/01/archives/ericssons-propeller-blades-rent-struck-some-obstruction-in-newyork.html,Rooms Assigned in Seventh District Court House,,9,The New York Times,[],"{'main': ""ERICSSON'S PROPELLER BLADES RENT.; Struck Some Obstruction in New-York Harbor -- The Speed Trial."", 'kicker': None, 'content_kicker': None, 'print_headline': ""ERICSSON'S PROPELLER BLADES RENT.; Struck Some Obstruction in New-York Harbor -- The Speed Trial."", 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1c443144-b8fc-5a46-8e61-5e99d33cd867,0,nyt://article/1c443144-b8fc-5a46-8e61-5e99d33cd867
,https://www.nytimes.com/1894/09/01/archives/article-5-no-title.html,,,10,The New York Times,[],"{'main': 'Article 5 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 5 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/259480a0-cfd8-53e5-a0f1-1081901b341b,0,nyt://article/259480a0-cfd8-53e5-a0f1-1081901b341b
Separate Elections Section; Mr. Jenks's Motion for Sub-Committee to Draft New Bill; Republicans' Gag Law,https://www.nytimes.com/1894/09/01/archives/gag-law-by-republicans-applied-to-the-minority-in-the-albany.html,Separate Elections Section; Mr. Jenks's Motion for Sub-Committee to Draft New Bill; Republicans' Gag Law,,2,The New York Times,[],"{'main': ""GAG LAW BY REPUBLICANS; APPLIED TO THE MINORITY IN THE ALBANY CONVENTION. Almet F. Jenks's Effort to Revive the Separate-Elections Feature of Home Rule for Cities Thwarted High-Handed Partisan Tactics -- De Lancey Nicoll and Judge Blake Denounce the Autocratic Methods of the Majority -- The Education Article."", 'kicker': None, 'content_kicker': None, 'print_headline': ""GAG LAW BY REPUBLICANS; APPLIED TO THE MINORITY IN THE ALBANY CONVENTION. Almet F. Jenks's Effort to Revive the Separate-Elections Feature of Home Rule for Cities Thwarted High-Handed Partisan Tactics -- De Lancey Nicoll and Judge Blake Denounce the Autocratic Methods of the Majority -- The Education Article."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'New York State', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'New York State', 'rank': 2, 'major': 'N'}]",1894-09-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/261711e7-8f64-599d-8c54-755db3c1c98c,0,nyt://article/261711e7-8f64-599d-8c54-755db3c1c98c
