abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"HYDE.--In the City, on Saturday, Jan. 31, after a short and severe illness, LUOY, daughter of Stephen Hyde, Esq., of Palmyra, aged 22 years. Her remains will be taken to Palmyra for interment. McGIE.--In this City, on Saturday, Jan 31, Mrs. MARY McGIE.  ",https://www.nytimes.com/1857/02/02/archives/died.html,,,8,The New York Times,[],"{'main': 'DIED.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'DIED.', 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/01affa5e-80d7-5733-8692-21cd358870f4,0,nyt://article/01affa5e-80d7-5733-8692-21cd358870f4
"We have no doubt that the name of the American song writer, SIDNEY DYER, is as familiar as a household word among music-sellers, compeers, and piano-forte Players; but we do not remember having ever heard of it until we took up the volume containing his ""Songs and Ballads,"" and embellished with a portrait of the lyrist himself, Just Published by SHELDON, BLAKEMAN  Co.,  ",https://www.nytimes.com/1857/02/02/archives/books-of-the-week.html,,,3,The New York Times,[],"{'main': 'BOOKS OF THE WEEK.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'BOOKS OF THE WEEK.', 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0645bce3-f911-546c-a47b-6143237306a4,0,nyt://article/0645bce3-f911-546c-a47b-6143237306a4
"It is impossible not to perceive that a strenuous effort is made, by parties likely to be implicated in the corruption and frauds charged upon Congress,--to terrify witnesses from appearing against them. This is one natural and evident result of the new law concerning testimony, for no man would willingly place himself in a position which should deprive him of all the rights of the common law,  ",https://www.nytimes.com/1857/02/02/archives/witnesses-of-congressional-corruption.html,,,4,The New York Times,[],"{'main': 'Witnesses of Congressional Corruption.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Witnesses of Congressional Corruption.', 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/06f2059f-62ab-50ce-979e-9e082ef17acb,0,nyt://article/06f2059f-62ab-50ce-979e-9e082ef17acb
,https://www.nytimes.com/1857/02/02/archives/latest-intelligence-shipwrecks-on-the-newjersey-and-long-island.html,,,1,The New York Times,[],"{'main': ""LATEST INTELLIGENCE.; Shipwrecks on the New-Jersey and Long Island Coasts. By Telegraph to the New-York Daily Times. FROM WASHINGTON. Magnetic Telegraph Co,'s Offices--4 Hanover-st., and 181 Broadway. House Printing Telegraph -Office No.21 wall-street."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""LATEST INTELLIGENCE.; Shipwrecks on the New-Jersey and Long Island Coasts. By Telegraph to the New-York Daily Times. FROM WASHINGTON. Magnetic Telegraph Co,'s Offices--4 Hanover-st., and 181 Broadway. House Printing Telegraph -Office No.21 wall-street."", 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/097b8fc7-fae2-5a7b-90f3-ac493faab227,0,nyt://article/097b8fc7-fae2-5a7b-90f3-ac493faab227
,https://www.nytimes.com/1857/02/02/archives/law-intelligence-court-of-common-pleasgeneral-teem-supreme.html,,,6,The New York Times,[],"{'main': 'LAW INTELLIGENCE!; COURT OF COMMON PLEAS--GENERAL TEEM. SUPREME COURT,--SPECIAL TERM. COURT CALENDAR-MONDAY, Feb. 2. The Case of Alderman Oliver. BROOKLYN CITY COURT-- SATURDAY, Jan. 31.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LAW INTELLIGENCE!; COURT OF COMMON PLEAS--GENERAL TEEM. SUPREME COURT,--SPECIAL TERM. COURT CALENDAR-MONDAY, Feb. 2. The Case of Alderman Oliver. BROOKLYN CITY COURT-- SATURDAY, Jan. 31.', 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/10b476ca-3343-5004-8f1e-a151f96ef312,0,nyt://article/10b476ca-3343-5004-8f1e-a151f96ef312
Garza advances upon Tampico,https://www.nytimes.com/1857/02/02/archives/news-from-mexico.html,Garza advances upon Tampico,,1,The New York Times,[],"{'main': 'News from Mexico', 'kicker': None, 'content_kicker': None, 'print_headline': 'News from Mexico', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Mexico', 'rank': 1, 'major': 'N'}]",1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/12283c4b-525e-5de1-8d5f-e6c3ed258eb4,0,nyt://article/12283c4b-525e-5de1-8d5f-e6c3ed258eb4
"The up Sunday morning train on the Georgia Railroad met with a frightful accident about seventeen miles from Augusta. About forty passengers were injured; amongst them Governor JOHNSON, of Tennessee, who has an arm broken. Two ladies were seriously wounded. Particulars have not yet been obtained.  ",https://www.nytimes.com/1857/02/02/archives/from-the-south-serious-accident-on-the-georgia-railroad-c.html,,,1,The New York Times,[],"{'main': 'From the South.; SERIOUS ACCIDENT ON THE GEORGIA RAILROAD, &C.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'From the South.; SERIOUS ACCIDENT ON THE GEORGIA RAILROAD, &C.', 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1390455c-6dea-57a5-b36d-ac8da13882f5,0,nyt://article/1390455c-6dea-57a5-b36d-ac8da13882f5
,https://www.nytimes.com/1857/02/02/archives/marine-intelligence.html,,,8,The New York Times,[],"{'main': 'MARINE INTELLIGENCE.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'MARINE INTELLIGENCE.', 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/19172fb8-b317-5d17-a699-ab20972eed89,0,nyt://article/19172fb8-b317-5d17-a699-ab20972eed89
,https://www.nytimes.com/1857/02/02/archives/the-weather.html,,,1,The New York Times,[],"{'main': 'The Weather.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Weather.', 'name': None, 'seo': None, 'sub': None}",[],1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/39f08783-7c63-5302-b563-691b642a01d7,0,nyt://article/39f08783-7c63-5302-b563-691b642a01d7
Capture of the Barrier Forts by Americans,https://www.nytimes.com/1857/02/02/archives/important-from-india-and-china-preparations-to-occupy-afighanistan.html,Capture of the Barrier Forts by Americans,,2,The New York Times,[],"{'main': 'IMPORTANT FROM INDIA AND CHINA.; Preparations to Occupy Afighanistan, IMPORTANT RUSSIAN MOVEMENTS IN CENTRAL ASIA. Capture of the Barrier Forts by the Americans. The British Expedition to the Gulf of Persia. THE WAR AT CANTON.', 'kicker': None, 'content_kicker': None, 'print_headline': 'IMPORTANT FROM INDIA AND CHINA.; Preparations to Occupy Afighanistan, IMPORTANT RUSSIAN MOVEMENTS IN CENTRAL ASIA. Capture of the Barrier Forts by the Americans. The British Expedition to the Gulf of Persia. THE WAR AT CANTON.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'China', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 2, 'major': 'N'}]",1857-02-02T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/3cf7d6f4-1b1c-53d2-91fe-af4cf54d0e3c,0,nyt://article/3cf7d6f4-1b1c-53d2-91fe-af4cf54d0e3c
