abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
Mississippi; Gov. Sharkey's Proclamation on Cases Transferred from Freedmen's Bureau to Civil Power,https://www.nytimes.com/1865/10/01/archives/from-mississippi-proclamation-by-gov-sharkey-the-rights-of-freedmen.html,Mississippi; Gov. Sharkey's Proclamation on Cases Transferred from Freedmen's Bureau to Civil Power,"JACKSON, Miss., Friday, Sept. 29.",,1,The New York Times,[],"{'main': 'FROM MISSISSIPPI.; Proclamation by Gov. Sharkey The Rights of Freedmen in the Courts No Distinction to be Made on Account of Color.', 'kicker': None, 'content_kicker': None, 'print_headline': 'FROM MISSISSIPPI.; Proclamation by Gov. Sharkey The Rights of Freedmen in the Courts No Distinction to be Made on Account of Color.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'NEGROES', 'rank': 1, 'major': 'N'}]",1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/00f7d360-a065-558f-8110-d1cc91233f51,143,nyt://article/00f7d360-a065-558f-8110-d1cc91233f51,
"BANCKER. -- On Saturday, Sept. 30, JOHN L. BANCKER, aged 34 years.",https://www.nytimes.com/1865/10/01/archives/died.html,,"BANCKER. -- On Saturday, Sept. 30, JOHN L. BANCKER, aged 34 years.",,5,The New York Times,[],"{'main': 'DIED.', 'kicker': None, 'content_kicker': None, 'print_headline': 'DIED.', 'name': None, 'seo': None, 'sub': None}",[],1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/02b2de99-4e27-54bf-ad09-2c21dbbae72e,398,nyt://article/02b2de99-4e27-54bf-ad09-2c21dbbae72e,
Baptism of Children by A bert Pike,https://www.nytimes.com/1865/10/01/archives/interesting-masonic-ceremony-baptism-of-six-children-by-albert-pike.html,Baptism of Children by A bert Pike,"Last evening, one of the most interesting, and, at the same time, novel ceremonies, connected with Free Masonry, was performed in Masonic Hall, Thirteenth-street, near Fourth-avenue, by the Thrice Potent Grand Master of the Scottish rite, ALBERT PIKE, late General in the rebel army, the Senior Warden being Gen. J.H. HOBART WARD, late of the union army. It consisted of the baptism of six children, ranging from six months to eight years of age, according to the Masonic ritual. This being the first time this ceremony was performed at the North a large number of Masons, with their wives, daughters, sons, &c., were present, so that the lodge-room was crowded. The ceremony took place in a Lodge of Perfection which was opened publicly. In the east on a platform were placed a font filled with oil, a vessel of consecrated oil, and a plate of salt. All being ready two lines were formed consisting of a guard with drawn swords facing inwards and the officers and members of the Grand Lodge of Perfection entered in procession to the music of a grand march by the organ. After several alarms the parents and children entered with the godfather and godmothers, the latter dressed in white; the children who were unable to walk were carried on a cushion covered with blue silk, by the master of ceremonies; after him came a brother carrying the lighted candles, black, white and rose color in the form of a triangle, while the choir sang the chant ""Out of the mouths of babes and sucklings, Thou hast perfected praise."" Then came the other children, two by two, then the fathers and mothers. The procession went three times round the lodge-room, the organ playing, and the chant still proceeding, while the Master and Wardens repeated certain sentences, the mystic sentence commencing ""Suffer little children to come unto me,"" &c. After questions asked of the fathers and answered by them, the children were brought to the front and an impressive prayer offered up by Bro. WILSON SMALL, as Grand Chaplain. This was followed by a hymn, and the Master informed the godfathers and godmothers of their duty, while the Orator in the North, the Senior and Junior Wardens, admonished them and their parents to be true to themselves, to others, to their country and to God. Another prayer was then offered, and the children were brought to the altar. Their names were:",,5,The New York Times,[],"{'main': 'Interesting Masonic Ceremony Baptism of Six Children by Albert Pike, of Arkansas.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Interesting Masonic Ceremony Baptism of Six Children by Albert Pike, of Arkansas.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 1, 'major': 'N'}]",1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/02dc9cd0-99aa-52f5-993f-84607c79c233,777,nyt://article/02dc9cd0-99aa-52f5-993f-84607c79c233,
"The body of a man, apparently about fifty years of age, gray hair and slight frame, was found in Gowanus Bay on Friday. The clothes of deceased consisted of a black sack coat, bound, single breasted and lined with black alpacca, ribbed cassimere vest, edge bound, blue cloth pantaloons, gaiters, white socks and drawers, white shirt and black necktie. On the left forefinger was a fancy ring, and in the vest pocket a pair of spectacles and case were found. Deceased had been in the water about eight days. Coroner BARRETT took charge of the remains.",https://www.nytimes.com/1865/10/01/archives/brooklyn-news-found-drowned-sudden-death-alarm-of-fire.html,,"The body of a man, apparently about fifty years of age, gray hair and slight frame, was found in Gowanus Bay on Friday. The clothes of deceased consisted of a black sack coat, bound, single breasted and lined with black alpacca, ribbed cassimere vest, edge bound, blue cloth pantaloons, gaiters, white socks and drawers, white shirt and black necktie. On the left forefinger was a fancy ring, and in the vest pocket a pair of spectacles and case were found. Deceased had been in the water about eight days. Coroner BARRETT took charge of the remains.",,5,The New York Times,[],"{'main': 'BROOKLYN NEWS.; FOUND DROWNED. SUDDEN DEATH. ALARM OF FIRE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'BROOKLYN NEWS.; FOUND DROWNED. SUDDEN DEATH. ALARM OF FIRE.', 'name': None, 'seo': None, 'sub': None}",[],1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0422473f-403d-503e-a738-dd6e504f2510,173,nyt://article/0422473f-403d-503e-a738-dd6e504f2510,
"-The residence of Mr. JOHN FRAZER, NO. 103 Second-street, E.D., was entered at an early hour Friday morning, by the second story window, and robbed of a pocket-book containing $50 and a gold watch worth $150.",https://www.nytimes.com/1865/10/01/archives/house-robbery.html,,"-The residence of Mr. JOHN FRAZER, NO. 103 Second-street, E.D., was entered at an early hour Friday morning, by the second story window, and robbed of a pocket-book containing $50 and a gold watch worth $150.",,5,The New York Times,[],"{'main': 'HOUSE ROBBERY.', 'kicker': None, 'content_kicker': None, 'print_headline': 'HOUSE ROBBERY.', 'name': None, 'seo': None, 'sub': None}",[],1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0812482c-74ac-5269-ba29-69841f50aaff,75,nyt://article/0812482c-74ac-5269-ba29-69841f50aaff,
"On Friday night, ROBERT PARKER, of No. 50 Third-street, entered Mr. WILLIAM BRAAS' grocery, at No. 139 Stanton-street, and, having made a trifling purchase, took occasion to rob Mr. BRAAS' money-drawer while his back was turned, Policeman FISHER arrested PARRER and found $27 in his possession, and Justice MANSFIELD committed him in default of $1,000 bail.",https://www.nytimes.com/1865/10/01/archives/essex-market-before-justice-mansfield-theft-in-a-grocery.html,,"On Friday night, ROBERT PARKER, of No. 50 Third-street, entered Mr. WILLIAM BRAAS' grocery, at No. 139 Stanton-street, and, having made a trifling purchase, took occasion to rob Mr. BRAAS' money-drawer while his back was turned, Policeman FISHER arrested PARRER and found $27 in his possession, and Justice MANSFIELD committed him in default of $1,000 bail.",,8,The New York Times,[],"{'main': 'Essex Market Before Justice Mansfield.; THEFT IN A GROCERY.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Essex Market Before Justice Mansfield.; THEFT IN A GROCERY.', 'name': None, 'seo': None, 'sub': None}",[],1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08594469-d560-55fc-b05c-85a4ecab040f,56,nyt://article/08594469-d560-55fc-b05c-85a4ecab040f,
"JOHN DELANEY, JOHN VERNON, and JOHN SHERRY, of No. 62 Mulberry-street, having been out drinking together nearly all day yesterday, reached home inebriated last evening, and repairing to the rear yard at about 7 o'clock, they fought, and DELANEY was shockingly beaten, and stabbed in the forehead. During the fight, WILLIAM PICKET, a youth of 13 years, interfered to separate the combatants, and received a deep and fearful stab in the back, just under the left shoulder. Officer HYDE, of the Sixth Ward, took him to the New-York Hospital, and he was attended by Dr. HOPPIN. Roundsman MCDONALD and Patrolman KABENY arrested both SHERRY and VERNON, and they were incarcerated in the Franklin-street Police-station. It is believed that the boy's wound must prove mortal.",https://www.nytimes.com/1865/10/01/archives/probable-murder-in-the-sixth-ward.html,,"JOHN DELANEY, JOHN VERNON, and JOHN SHERRY, of No. 62 Mulberry-street, having been out drinking together nearly all day yesterday, reached home inebriated last evening, and repairing to the rear yard at about 7 o'clock, they fought, and DELANEY was shockingly beaten, and stabbed in the forehead. During the fight, WILLIAM PICKET, a youth of 13 years, interfered to separate the combatants, and received a deep and fearful stab in the back, just under the left shoulder. Officer HYDE, of the Sixth Ward, took him to the New-York Hospital, and he was attended by Dr. HOPPIN. Roundsman MCDONALD and Patrolman KABENY arrested both SHERRY and VERNON, and they were incarcerated in the Franklin-street Police-station. It is believed that the boy's wound must prove mortal.",,8,The New York Times,[],"{'main': 'PROBABLE MURDER IN THE SIXTH WARD.', 'kicker': None, 'content_kicker': None, 'print_headline': 'PROBABLE MURDER IN THE SIXTH WARD.', 'name': None, 'seo': None, 'sub': None}",[],1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0b1e6c95-1804-5d91-8ede-743dec5e3240,124,nyt://article/0b1e6c95-1804-5d91-8ede-743dec5e3240,
"A stated meeting of the board is to be held at the hall, Grand and Elm streets, on Wednesday evening next at 5 o'clock. The call for this meeting does not state whether the Transcript advertising resolutions are to be discussed.",https://www.nytimes.com/1865/10/01/archives/board-of-education.html,,"A stated meeting of the board is to be held at the hall, Grand and Elm streets, on Wednesday evening next at 5 o'clock. The call for this meeting does not state whether the Transcript advertising resolutions are to be discussed.",,5,The New York Times,[],"{'main': 'BOARD OF EDUCATION.', 'kicker': None, 'content_kicker': None, 'print_headline': 'BOARD OF EDUCATION.', 'name': None, 'seo': None, 'sub': None}",[],1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0b8c97c5-36c7-5cfb-80ca-9c7663a05a05,41,nyt://article/0b8c97c5-36c7-5cfb-80ca-9c7663a05a05,
"Yom Kippur--Day of Atonement, Ceremonies, >amp;c.",https://www.nytimes.com/1865/10/01/archives/the-jewish-day-of-atonement.html,"Yom Kippur--Day of Atonement, Ceremonies, >amp;c.","The Jewish day of atonement -- Yom Kippur -- which ended at sunset on Saturday, is one of the most important and generally respected of the fasts prescribed for observance among the Israelies.",,5,The New York Times,[],"{'main': 'The Jewish Day of Atonement.', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Jewish Day of Atonement.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'JEWS', 'rank': 2, 'major': 'N'}]",1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c4e1d79-211a-5e76-90be-feb290ff3176,635,nyt://article/0c4e1d79-211a-5e76-90be-feb290ff3176,
"HAVANA, Saturday, Sept. 23, 1865.",https://www.nytimes.com/1865/10/01/archives/our-havana-correspondence-inundation-in-mexico-misery-in.html,,"HAVANA, Saturday, Sept. 23, 1865.",,2,The New York Times,[],"{'main': 'OUR HAVANA CORRESPONDENCE.; Inundation in Mexico Misery in Consequence Legislative Measures Success of Ugalde and Defeat of Pesqueira, &c.', 'kicker': None, 'content_kicker': None, 'print_headline': 'OUR HAVANA CORRESPONDENCE.; Inundation in Mexico Misery in Consequence Legislative Measures Success of Ugalde and Defeat of Pesqueira, &c.', 'name': None, 'seo': None, 'sub': None}",[],1865-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0da504e5-ba64-54e1-9ec2-71934827a82d,1995,nyt://article/0da504e5-ba64-54e1-9ec2-71934827a82d,
