abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
Lafayette Square Opera House Opened,https://www.nytimes.com/1895/10/01/archives/washingtons-new-opera-house.html,Lafayette Square Opera House Opened,,5,The New York Times,[],"{'main': ""Washington's New Opera House."", 'kicker': None, 'content_kicker': None, 'print_headline': ""Washington's New Opera House."", 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0230f012-34ee-5714-8637-1e1407646427,0,nyt://article/0230f012-34ee-5714-8637-1e1407646427
,https://www.nytimes.com/1895/10/01/archives/boris-will-be-russian-orthodox.html,,,5,The New York Times,[],"{'main': 'Boris Will Be Russian Orthodox.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Boris Will Be Russian Orthodox.', 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0370d92f-2ea0-560f-8c44-16432972cbf5,0,nyt://article/0370d92f-2ea0-560f-8c44-16432972cbf5
Lake Shipbuilding Industry Will Be Benefited; Prof. G. Turrell's Views,https://www.nytimes.com/1895/10/01/archives/cheap-lake-shipbuilding-western-shipbuilders-ready-to-compete-with.html,Lake Shipbuilding Industry Will Be Benefited; Prof. G. Turrell's Views,,9,The New York Times,[],"{'main': 'CHEAP LAKE SHIPBUILDING; Western Shipbuilders Ready to Compete with Those of the East. A SHIP CANAL WOULD OPEN THE WAY Cheap Iron Ores and Coal Great Advantages to Western Builders Over Those of Atlantic Ports.', 'kicker': None, 'content_kicker': None, 'print_headline': 'CHEAP LAKE SHIPBUILDING; Western Shipbuilders Ready to Compete with Those of the East. A SHIP CANAL WOULD OPEN THE WAY Cheap Iron Ores and Coal Great Advantages to Western Builders Over Those of Atlantic Ports.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Canals', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ')', 'rank': 2, 'major': 'N'}]",1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/038aeb7d-9cf5-5ae8-bcef-59905af68726,0,nyt://article/038aeb7d-9cf5-5ae8-bcef-59905af68726
,https://www.nytimes.com/1895/10/01/archives/to-challenge-for-the-seawanhaka-cup.html,,,6,The New York Times,[],"{'main': 'To Challenge for the Seawanhaka Cup.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'To Challenge for the Seawanhaka Cup.', 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/047b1bc6-a7c1-5fd9-9625-7fa53f72fe79,0,nyt://article/047b1bc6-a7c1-5fd9-9625-7fa53f72fe79
,https://www.nytimes.com/1895/10/01/archives/armenians-in-an-insurrection-hostile-demonstration-in.html,,,1,The New York Times,[],"{'main': 'ARMENIANS IN AN INSURRECTION; Hostile Demonstration in Constantinople Results in the Killing of Several Persons -- Order Restored.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'ARMENIANS IN AN INSURRECTION; Hostile Demonstration in Constantinople Results in the Killing of Several Persons -- Order Restored.', 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/061fd046-eb33-5961-86b1-70b93b0f9452,0,nyt://article/061fd046-eb33-5961-86b1-70b93b0f9452
"ORANGE, N.J. Sept. 30. -- The Maplewood and South Orange Railway Company will begin the operation of its new electric fine between South Orange and Tremont Avenues to-morrow. The power is to be furnished by the Suburban Traction Company, with which the new company will also have a traffic arrangement.  ",https://www.nytimes.com/1895/10/01/archives/new-road-open-in-the-oranges.html,,,15,The New York Times,[],"{'main': 'New Road Open in the Oranges.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'New Road Open in the Oranges.', 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/06abafe3-1af6-5e1c-a452-fafab69cb455,0,nyt://article/06abafe3-1af6-5e1c-a452-fafab69cb455
,https://www.nytimes.com/1895/10/01/archives/lieut-peary-starts-for-newyork.html,,,2,The New York Times,[],"{'main': 'Lieut. Peary Starts for New-York.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Lieut. Peary Starts for New-York.', 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/086f68f2-e6d1-50d5-9633-9ebb6fec204c,0,nyt://article/086f68f2-e6d1-50d5-9633-9ebb6fec204c
,https://www.nytimes.com/1895/10/01/archives/seal-poachers-caught-in-bering-sea-one-british-and-one-american.html,,,9,The New York Times,[],"{'main': 'SEAL POACHERS CAUGHT IN BERING SEA; One British and One American Schooner Seized by the Rush.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'SEAL POACHERS CAUGHT IN BERING SEA; One British and One American Schooner Seized by the Rush.', 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08e49c08-6e45-5b3e-aa19-8a06cc27bfff,0,nyt://article/08e49c08-6e45-5b3e-aa19-8a06cc27bfff
Massacres of Missionaries; England's Demand for Redress Satisfied,https://www.nytimes.com/1895/10/01/archives/the-british-in-china.html,Massacres of Missionaries; England's Demand for Redress Satisfied,,4,The New York Times,[],"{'main': 'THE BRITISH IN CHINA.', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE BRITISH IN CHINA.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'China', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 2, 'major': 'N'}]",1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08f5bb01-0b83-59ad-85d3-8f730f85c70c,0,nyt://article/08f5bb01-0b83-59ad-85d3-8f730f85c70c
,https://www.nytimes.com/1895/10/01/archives/will-attempt-but-little-mr-burrows-says-congress-will-transact.html,,,5,The New York Times,[],"{'main': 'WILL ATTEMPT BUT LITTLE; Mr. Burrows Says Congress Will Transact Routine Business and Quit.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'WILL ATTEMPT BUT LITTLE; Mr. Burrows Says Congress Will Transact Routine Business and Quit.', 'name': None, 'seo': None, 'sub': None}",[],1895-10-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0a569e59-d82f-5c61-8376-7b4244fe87f3,0,nyt://article/0a569e59-d82f-5c61-8376-7b4244fe87f3
