abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
"Hale, Joshua L.",https://www.nytimes.com/1875/03/01/archives/obituary-joshua-l-hale.html,"Hale, Joshua L.",,,5,The New York Times,[],"{'main': 'OBITUARY.; JOSHUA L. HALE.', 'kicker': None, 'content_kicker': None, 'print_headline': 'OBITUARY.; JOSHUA L. HALE.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'DEATHS', 'rank': 1, 'major': 'N'}]",1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/02d17989-bccd-5091-8877-16d0461152c8,0,nyt://article/02d17989-bccd-5091-8877-16d0461152c8,
"To-day the public interest in the TiltonBeecher case, which somewhat abated toward the close of the plaintiff's evidence, will be enlarged by the probability that, on the termination of Gen. Tracy's opening address, Henry Ward Beecher will be placed upon the stand to testify in his own behalf. His examination will probably prove a prolonged and severe one.  ",https://www.nytimes.com/1875/03/01/archives/trial-sketches-an-important-point-in-the-proceedings-mr-beecher.html,,,,5,The New York Times,[],"{'main': ""TRIAL SKETCHES.; AN IMPORTANT POINT IN THE PROCEEDINGS. MR. BEECHER WILL PROBABLY BE CALLED TO THE STAND TO-DAY--A LONG EXAMINATION PREDICTED--THE PLAINTIFF'S RESERVE OF WITNESSES--SKETCHES OF COURT-ROOM CHARACTERS."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""TRIAL SKETCHES.; AN IMPORTANT POINT IN THE PROCEEDINGS. MR. BEECHER WILL PROBABLY BE CALLED TO THE STAND TO-DAY--A LONG EXAMINATION PREDICTED--THE PLAINTIFF'S RESERVE OF WITNESSES--SKETCHES OF COURT-ROOM CHARACTERS."", 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bec0d2f-7dca-5de7-95dc-dd3e65ae9fea,0,nyt://article/0bec0d2f-7dca-5de7-95dc-dd3e65ae9fea,
,https://www.nytimes.com/1875/03/01/archives/the-condition-of-the-hudson.html,,,,1,The New York Times,[],"{'main': 'THE CONDITION OF THE HUDSON.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE CONDITION OF THE HUDSON.', 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/10a5643f-d372-5f27-817c-c95f58eeca1f,0,nyt://article/10a5643f-d372-5f27-817c-c95f58eeca1f,
"Hall, Rev. Dr. John; Preaching Before Yale Divinity School",https://www.nytimes.com/1875/03/01/archives/dr-hall-on-preaching-eighth-lecture-of-the-seriescharacteristics-of.html,"Hall, Rev. Dr. John; Preaching Before Yale Divinity School",,,4,The New York Times,[],"{'main': 'DR. HALL ON PREACHING.; EIGHTH LECTURE OF THE SERIES--CHARACTERISTICS OF GOOD CONTINUOUS PREACHING.', 'kicker': None, 'content_kicker': None, 'print_headline': 'DR. HALL ON PREACHING.; EIGHTH LECTURE OF THE SERIES--CHARACTERISTICS OF GOOD CONTINUOUS PREACHING.', 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': 'From Our Own Correspondent', 'person': [{'firstname': 'From', 'middlename': 'Our', 'lastname': 'Own', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/10ad17a1-017d-57a4-a975-35a32f20c082,0,nyt://article/10ad17a1-017d-57a4-a975-35a32f20c082,
,https://www.nytimes.com/1875/03/01/archives/one-advantage-in-wearing-overshoes.html,,,,5,The New York Times,[],"{'main': 'ONE ADVANTAGE IN WEARING OVERSHOES.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'ONE ADVANTAGE IN WEARING OVERSHOES.', 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/139008e2-76f1-5ec0-8129-587b3b861dc2,0,nyt://article/139008e2-76f1-5ec0-8129-587b3b861dc2,
,https://www.nytimes.com/1875/03/01/archives/the-caucus-force-bill-effect-of-the-partisan-action-of-the.html,,,,5,The New York Times,[],"{'main': 'THE CAUCUS ""FORCE"" BILL.; EFFECT OF THE PARTISAN ACTION OF THE DEMOCRATS. LUKEWARM SUPPORTERS AND OPPONENTS AMONG THE REPUBLICANS CHANGE INTO ADVOCATES OF THE MEASURE-- ITS PASSAGE IN THE SENATE AN IMPOSSIBILITY. A SKIRMISH BETWEEN BLAINE AND BUTLER.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE CAUCUS ""FORCE"" BILL.; EFFECT OF THE PARTISAN ACTION OF THE DEMOCRATS. LUKEWARM SUPPORTERS AND OPPONENTS AMONG THE REPUBLICANS CHANGE INTO ADVOCATES OF THE MEASURE-- ITS PASSAGE IN THE SENATE AN IMPOSSIBILITY. A SKIRMISH BETWEEN BLAINE AND BUTLER.', 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/17ca3263-8128-5450-9fd8-c2d4ebcf32b4,0,nyt://article/17ca3263-8128-5450-9fd8-c2d4ebcf32b4,
Fulfilling of the Law,https://www.nytimes.com/1875/03/01/archives/plymouth-church-the-fulfilling-of-the-law-mr-beecher-and-the-home.html,Fulfilling of the Law,,,2,The New York Times,[],"{'main': 'PLYMOUTH CHURCH.; THE FULFILLING OF THE LAW. MR. BEECHER AND THE HOME MISSIONARY SOCIETY--THE MORNING SCRIPTURE, PRAYER, AND SERMON--MAN FINDS OUT THE LAW BY THE PENALTY--A TRUE MAN\'S STANDARD SHOULD BE HIGHER THAN SOCIETY REQUIRES--""O WHERE CAN THE SOUL FIND RELIEF FROM ITS FOES?""', 'kicker': None, 'content_kicker': None, 'print_headline': 'PLYMOUTH CHURCH.; THE FULFILLING OF THE LAW. MR. BEECHER AND THE HOME MISSIONARY SOCIETY--THE MORNING SCRIPTURE, PRAYER, AND SERMON--MAN FINDS OUT THE LAW BY THE PENALTY--A TRUE MAN\'S STANDARD SHOULD BE HIGHER THAN SOCIETY REQUIRES--""O WHERE CAN THE SOUL FIND RELIEF FROM ITS FOES?""', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'BEECHER, REV. HENRY WARD', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SERMONS', 'rank': 2, 'major': 'N'}]",1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/18cc4b49-e937-5411-8785-cb275d0aeddf,0,nyt://article/18cc4b49-e937-5411-8785-cb275d0aeddf,
Costigan Bill; Kelly and Tammany; An Opinion by TIMES Correspondent,https://www.nytimes.com/1875/03/01/archives/albany-position-of-the-democracy-at-the-state-capital-the.html,Costigan Bill; Kelly and Tammany; An Opinion by TIMES Correspondent,,,1,The New York Times,[],"{'main': 'ALBANY.; POSITION OF THE DEMOCRACY AT THE STATE CAPITAL. THE POSSIBILITIES CONCERNING THE COSTIGAN BILL--ITS SUCCESS OR FAILURE--WHERE THE GOVERNOR MAY SLIP IN AS""A WINNER""--THE DEMOCRATIC FEUD.', 'kicker': None, 'content_kicker': None, 'print_headline': 'ALBANY.; POSITION OF THE DEMOCRACY AT THE STATE CAPITAL. THE POSSIBILITIES CONCERNING THE COSTIGAN BILL--ITS SUCCESS OR FAILURE--WHERE THE GOVERNOR MAY SLIP IN AS""A WINNER""--THE DEMOCRATIC FEUD.', 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': 'From Our Own Correspondent', 'person': [{'firstname': 'From', 'middlename': 'Our', 'lastname': 'Own', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/1f063aae-0a07-5c5d-b672-a3dab864ba21,0,nyt://article/1f063aae-0a07-5c5d-b672-a3dab864ba21,
,https://www.nytimes.com/1875/03/01/archives/the-excise-law-enforced.html,,,,5,The New York Times,[],"{'main': 'THE EXCISE LAW ENFORCED.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE EXCISE LAW ENFORCED.', 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/20353c64-71a3-5c9a-8d18-6830ecfe937c,0,nyt://article/20353c64-71a3-5c9a-8d18-6830ecfe937c,
"Commissioner Van Nort is to send his resignation of the position of Commissioner of Public Works to Mayor Wickham to-day. In answer to the inquiries of a TIMES reporter last evening, Mr. Van Nort said:",https://www.nytimes.com/1875/03/01/archives/commissioner-van-nort-resigns.html,,,,5,The New York Times,[],"{'main': 'COMMISSIONER VAN NORT RESIGNS.', 'kicker': None, 'content_kicker': None, 'print_headline': 'COMMISSIONER VAN NORT RESIGNS.', 'name': None, 'seo': None, 'sub': None}",[],1875-03-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/22eea357-6fbb-5af7-bb35-a9013796a3dc,0,nyt://article/22eea357-6fbb-5af7-bb35-a9013796a3dc,
